x_scan_A,y_scan_A,z_scan_A,Br_x_A,Br_y_A,Br_z_A,min_Br_heavy_atom_distance_A,energy_Ha,status,worker_pid,relative_to_global_min_kcal_mol
3.0,1.0,2.3,-1.8356731905642656,3.1280694167263094,0.5494924819435969,2.9325781361277508,-3010.229136105255,ok,72383,42.35782949917065
3.0,3.0,2.3,-3.8352815192109553,3.1109702765404874,0.513797224391682,3.7209982667861494,-3010.203728647959,ok,72378,58.30124966256167
-3.0,-1.0,2.6,0.2019318509562832,-2.817934897296149,1.3131667530804103,3.167992101030273,-3010.2306464013127,ok,72380,41.410104414319406
-3.0,1.0,2.6,-1.7976764776904064,-2.835034037481971,1.2774714955284954,3.174161135032783,-3010.2153376228707,ok,72381,51.016507922026776
-3.0,-3.0,2.6,2.201540179602973,-2.800835757110327,1.3488620106323252,3.2580714486896145,-3010.1916663074494,ok,72382,65.87048261095042
-1.0,-1.0,2.6,0.187425027649827,-0.8231015243574673,1.1702354189103423,2.626369101731652,-3010.268431408053,ok,72380,17.699654709658336
-1.0,1.0,2.6,-1.8121833009968624,-0.8402006645432893,1.1345401613584274,2.626415140812398,-3010.27250793871,ok,72383,15.141593101257689
-1.0,-3.0,2.6,2.1870333562965167,-0.806002384171645,1.2059306764622573,2.6334989290458233,-3010.2150398938056,ok,72378,51.203335731059724
3.0,-3.0,2.3,2.163543466729114,3.1622676970979535,0.6208829970474268,3.027648175304657,-3010.175056070398,ok,72379,76.29356372601552
1.0,-1.0,2.6,0.1729182043433708,1.1717318485812145,1.0273040847402743,2.6261081014558765,-3010.256488698348,ok,72380,25.19381819460592
-1.0,3.0,2.6,-3.811791629643552,-0.8572998047291116,1.0988449038065125,3.222121701780973,-3010.20366757022,ok,72381,58.339576522304114
1.0,1.0,2.6,-1.826690124303319,1.1546327083953922,0.9916088271883594,2.6266741109791027,-3010.27731803605,ok,72383,12.123211449582248
1.0,-3.0,2.6,2.1725265329900605,1.1888309887670363,1.0629993422921893,2.631519966558726,-3010.2157582734067,ok,72382,50.7525457254791
1.0,3.0,2.6,-3.8262984529500086,1.1375335682095702,0.9559135696364444,3.221081431362587,-3010.219224197563,ok,72378,48.57764548114498
3.0,1.0,2.6,-1.841196947609775,3.1494660813340745,0.8486774930182914,3.173317935490807,-3010.2170569320697,ok,72381,49.93762511094332
