x_scan_A,y_scan_A,z_scan_A,Br_x_A,Br_y_A,Br_z_A,min_Br_heavy_atom_distance_A,energy_Ha,status,worker_pid
3.0,-3.0,2.6,2.1580197096836047,3.1836643617057185,0.9200680081221213,3.2613052514094942,-3010.1814191323983,ok,72379
-3.0,-1.0,2.9,0.19640809391077407,-2.7965382326883845,1.6123517641551044,3.4184919625026033,-3010.2208675084876,ok,72378
-3.0,1.0,2.9,-1.8032002347359157,-2.8136373728742066,1.5766565066031895,3.4242309954914716,-3010.2061232030596,ok,72383
-1.0,-1.0,2.9,0.18190127060431793,-0.8017048597497024,1.4694204299850364,2.9236497745173615,-3010.2474636499933,ok,72379
-1.0,1.0,2.9,-1.817707058042372,-0.8188039999355244,1.4337251724331215,2.923716041482229,-3010.2505744555883,ok,72378
-3.0,3.0,2.9,-3.802808563382605,-2.8307365130600286,1.5409612490512745,4.11822507758899,-3010.149369693146,ok,72381
-1.0,3.0,2.9,-3.8173153866890615,-0.8359031401213467,1.3980299148812065,3.468729790890891,-3010.1948678108906,ok,72380
1.0,1.0,2.9,-1.8322138813488282,1.1760293730031572,1.2907938382630535,2.9239269964383476,-3010.2559141205325,ok,72379
1.0,-1.0,2.9,0.16739444729786168,1.1931285131889795,1.3264890958149684,2.9234368594873956,-3010.232871724328,ok,72382
1.0,3.0,2.9,-3.8318222099955177,1.158930232817335,1.2550985807111386,3.4677634995188047,-3010.2105572923642,ok,72378
3.0,1.0,2.9,-1.8467207046552843,3.170862745941839,1.1478625040929855,3.42343086901441,-3010.205080589672,ok,72379
3.0,3.0,2.9,-3.8463290333019735,3.153763605756017,1.1121672465410706,4.118943128018614,-3010.197338164704,ok,72382
1.0,-3.0,2.9,2.1670027759445514,1.2102276533748015,1.3621843533668834,2.928200096278046,-3010.1808381882365,ok,72383
3.0,-1.0,2.9,0.15288762399140554,3.187961886127661,1.1835577616449005,3.419307585733801,-3010.1723019799515,ok,72380
-3.0,1.0,3.2,-1.8087239917814248,-2.7922407082664416,1.875841517677884,3.6817681770878004,-3010.1982673464636,ok,72378
-3.0,-1.0,3.2,0.1908843368652649,-2.7751415680806195,1.911536775229799,3.6764113811160466,-3010.2121707796596,ok,72379
-1.0,-1.0,3.2,0.17637751355880876,-0.7803081951419375,1.768605441059731,3.2214346725550893,-3010.228341864876,ok,72380
-1.0,-3.0,3.2,2.1759858422054985,-0.7632090549561152,1.8043006986116459,3.22750574206948,-3010.1893528972723,ok,72383
-1.0,1.0,3.2,-1.823230815087881,-0.7974073353277595,1.732910183507816,3.221517420494948,-3010.231413677091,ok,72378
-1.0,3.0,3.2,-3.8228391437345706,-0.8145064755135818,1.697214925955901,3.723184720550409,-3010.18727424535,ok,72379
1.0,-1.0,3.2,0.1618706902523525,1.2145251777967443,1.625674106889663,3.221260992575248,-3010.211527672572,ok,72380
1.0,1.0,3.2,-1.8377376383943373,1.197426037610922,1.589978849337748,3.2216891960141187,-3010.236671733615,ok,72383
1.0,3.0,3.2,-3.837345967041027,1.1803268974251,1.554283591785833,3.722284485328998,-3010.203084003905,ok,72378
1.0,-3.0,3.2,2.1614790188990423,1.2316243179825663,1.661369364441578,3.225494423075055,-3010.1857615415424,ok,72381
3.0,1.0,3.2,-1.8522444617007934,3.192259410549604,1.44704751516768,3.6810068065861925,-3010.1941794672666,ok,72383
