theta,phi,E_opt_ortho,E_opt_meta,E_opt_para,g_norm_ortho,g_norm_meta,g_norm_para
27.0,252.0,-3010.350291566395,-3010.359290916831,-3010.352370501093,0.0026073540703293,0.0013040357993620954,0.0006904132151696587
27.0,270.0,-3010.35055255958,-3010.359375172295,-3010.3503525138053,0.0016230527336696685,0.0016417725850885118,0.0011192970202744557
27.0,288.0,-3010.350476486116,-3010.3589268627693,-3010.34770955854,0.0023411973826510286,0.0020745671135571513,0.0014014373772584302
27.0,306.0,-3010.350327617081,-3010.3578460985445,-3010.344767199138,0.0031333974487243676,0.0001670608977633166,0.0019462598366176307
27.0,324.0,-3010.3504111701386,-3010.3557044954114,-3010.3419058639292,0.0019024659769881025,0.0006840600854616298,0.002566998075852165
27.0,342.0,-3010.350536883073,-3010.352777703227,-3010.3397618139397,0.0009228384387268625,0.0039274087419406715,0.0025498647996186814
36.0,0.0,-3010.347023302738,-3010.343991599894,-3010.331674203266,0.0009988361697350807,0.00011435087587090857,0.0017031016690370363
36.0,18.0,-3010.3462595322535,-3010.340753644956,-3010.3323746745286,0.0013335804746210532,0.0018262811966788966,0.001343186459092713
36.0,36.0,-3010.3442003443943,-3010.3383257068513,-3010.334778081276,0.001801970366440484,0.0010631774106421477,0.00025271729708452187
36.0,54.0,-3010.3411841331226,-3010.3374184115196,-3010.3386491418087,0.004144446922282363,0.0016546005227240773,0.0011353451294668611
36.0,72.0,-3010.3383474082066,-3010.3377279194683,-3010.3433631950766,0.002290021735888648,0.0005691859373590884,0.0014290450975676006
36.0,90.0,-3010.336040064211,-3010.3392770260975,-3010.3472806386912,0.004112097924165269,8.786948262706462e-05,0.0008898888987644851
36.0,108.0,-3010.3344134320937,-3010.3418144851908,-3010.349324906378,0.0034872117973008864,0.0001335072128351308,0.0012833910889817903
36.0,126.0,-3010.333817246852,-3010.3448313611007,-3010.349986059212,0.0037257536086356536,0.0001035985014890595,0.0015611353048206706
36.0,144.0,-3010.334593051786,-3010.3478866459427,-3010.3497698352776,0.0027261957708995845,0.0001902404554945198,0.0017835678760176642
36.0,162.0,-3010.3366468624,-3010.3505105159434,-3010.349184176638,0.0007298788202015909,0.0004261693078916491,0.0014585613637553094
36.0,180.0,-3010.3397034465725,-3010.3521698034792,-3010.3486948945433,0.0008745182911320682,0.0008875050774008239,0.0013943835018006981
36.0,198.0,-3010.3426904974567,-3010.3528180967105,-3010.348591524546,0.000492010083391015,0.0019312118362624507,0.00039915429394864085
36.0,216.0,-3010.3449549263282,-3010.3532142718377,-3010.3487698848435,0.0006237412101352926,0.001903137610618866,0.0009526117812768272
36.0,234.0,-3010.346060536214,-3010.3534751345314,-3010.3490529913174,0.003993619660339461,0.0018713436252866503,0.0010245811167689735
36.0,252.0,-3010.3463961900225,-3010.3539726848708,-3010.3488032795312,0.0025836860081708667,0.0018601559744311463,0.0014010941298128932
36.0,270.0,-3010.3460614904916,-3010.354450425918,-3010.3467140899884,0.0034020835429214263,0.0014248584074647711,0.0014412222104697185
36.0,288.0,-3010.345642127769,-3010.3544860013812,-3010.34344522245,0.004117351192665717,0.0015273901019568904,0.0014984434922928136
36.0,306.0,-3010.3454025884535,-3010.353896253483,-3010.339487663316,0.0032166501099314486,6.385321311436917e-05,0.0021502685877101955
36.0,324.0,-3010.3457520793386,-3010.3518464812005,-3010.335577827236,0.0025362562321691,0.000478228268786302,0.0022450739454106176
36.0,342.0,-3010.3466295688386,-3010.348455642197,-3010.3327197790795,0.0014117596692389367,0.001903871883751312,0.0024061732657849376
45.0,0.0,-3010.3432686282226,-3010.3395094769958,-3010.3258968533064,0.0010006962315378715,0.0010394229050262294,0.001967055646080577
45.0,18.0,-3010.3429086753904,-3010.335508690021,-3010.32694521693,0.0015140047915879389,0.0016855523751382175,0.0012512352020233612
45.0,36.0,-3010.340545184362,-3010.332835895382,-3010.329833799918,0.003953550885097045,0.0015675921419504879,0.0002493108487313188
45.0,54.0,-3010.3373073827966,-3010.3317221255706,-3010.3343702400502,0.0018449710463226874,0.0009736018472323075,0.0008387841678676332
45.0,72.0,-3010.334118215834,-3010.3322889261476,-3010.3396040814455,0.0026729075068536107,0.00017288730008986335,0.0008694572878617602
45.0,90.0,-3010.3313393643475,-3010.334243579421,-3010.343879955574,0.0022020144945224408,8.866705010564675e-05,0.0015411786648323292
45.0,108.0,-3010.329313798097,-3010.3372358044803,-3010.3454829728703,0.0042782325881964645,6.303083446434665e-05,0.0018063700974214139
45.0,126.0,-3010.328481499612,-3010.3406752299766,-3010.3451360844942,0.0030790249470545104,0.00010011417751746058,0.0016310656470222467
45.0,144.0,-3010.3294989777887,-3010.343865106988,-3010.344004823583,0.0024041283183365895,0.0002044686837402924,0.0015966070958821996
45.0,162.0,-3010.332119583353,-3010.346238150436,-3010.34284032069,0.0007455859416907227,0.0004828830912118456,0.0017440967222908416
45.0,180.0,-3010.335777630458,-3010.347215148102,-3010.3418914402955,0.001041574637567465,0.001962764925992004,0.0011919824913185222
45.0,198.0,-3010.3391263197354,-3010.347059683978,-3010.34191430605,0.0006512841246573538,0.0014996849975728295,0.0016610700549251393
45.0,216.0,-3010.3411606740838,-3010.3463127716846,-3010.342660482863,0.0006172712669291603,0.001832037263553173,0.0010818867948640403
45.0,234.0,-3010.34161066646,-3010.346296092028,-3010.3439116265095,0.004169225066467493,0.004670730440320733,0.0012859258986892064
45.0,252.0,-3010.340986692619,-3010.346838976295,-3010.344791282036,0.0034927207699606256,0.004650456235676445,0.0010992895400301756
45.0,270.0,-3010.340169195344,-3010.3478359205233,-3010.34348990026,0.003750205283064043,0.0026404372732176254,0.0016808211878679242
45.0,288.0,-3010.3390561586875,-3010.348833913316,-3010.3397557138273,0.002281609823165875,0.00015628505159399883,0.0019224368232693106
45.0,306.0,-3010.3383537548457,-3010.348959890046,-3010.3346445178067,0.002125413385445191,6.394439840486857e-05,0.0019218588836552167
45.0,324.0,-3010.3391571482816,-3010.3474365176235,-3010.3300219773073,0.0020496601446230766,0.0005016682931163232,0.001957954295117276
45.0,342.0,-3010.341764279742,-3010.343815023569,-3010.326980696829,0.0013279278923500183,0.0021286749827831406,0.0012474973148414834
54.0,0.0,-3010.3392647069036,-3010.3354806162133,-3010.3211753634855,0.001975638947684132,0.001353355253200446,0.0012467350103529083
54.0,18.0,-3010.33942508581,-3010.3309083285462,-3010.3223793090847,0.0012374988665445818,0.0015357113291166297,0.0010398448375483827
54.0,36.0,-3010.3366678726584,-3010.3277679007188,-3010.325655686254,0.003709954014513998,0.0015164679638513708,0.00037321303537052656
54.0,54.0,-3010.33377302677,-3010.3266047978427,-3010.3308368635153,0.0006056820383387026,0.00031918013733415557,0.0009337684183770259
54.0,72.0,-3010.330395037145,-3010.3273452587746,-3010.336697354349,0.002280941963309193,7.548375064855694e-05,0.0007290970092735468
54.0,90.0,-3010.327334571847,-3010.3296660710475,-3010.340919787438,0.0020082160373565503,0.00010825361918584772,0.0012977361497461604
54.0,108.0,-3010.32491342469,-3010.3330461685464,-3010.341748262506,0.0029474004184656907,0.00020487812313771614,0.0018353174345104154
54.0,126.0,-3010.323837878822,-3010.3367798316826,-3010.340087210436,0.0028106848991641506,0.00010532856338174214,0.0019396538173446852
54.0,144.0,-3010.3250181499266,-3010.339997083982,-3010.337593611559,0.0023104284396456443,0.0001359705017835073,0.0015346678372812022
54.0,162.0,-3010.328183604919,-3010.342003039013,-3010.3358729233832,0.000824161723131639,0.00043148136860684746,0.0027673018162750083
