     Theta        Phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
    45.000     54.000     0.041563     0.057206     0.070711   -3009.613796440533   -3009.622392783366   -3009.615346020827
    45.000     72.000     0.021851     0.067250     0.070711   -3009.615694827372   -3009.616100162497   -3009.613849107546
    45.000     90.000     0.000000     0.070711     0.070711   -3009.618723824277   -3009.612020249680   -3009.615630111262
    45.000    108.000    -0.021851     0.067250     0.070711   -3009.622436847818   -3009.610951370698   -3009.620415224357
    45.000    126.000    -0.041563     0.057206     0.070711   -3009.626159249256   -3009.612849087667   -3009.626930970231
    45.000    144.000    -0.057206     0.041563     0.070711   -3009.629369759368   -3009.617057037965   -3009.633322676415
    45.000    162.000    -0.067250     0.021851     0.070711   -3009.631625122675   -3009.622352654536   -3009.637883986719
    45.000    180.000    -0.070711     0.000000     0.070711   -3009.632453464113   -3009.627167998525   -3009.639641486889
    45.000    198.000    -0.067250    -0.021851     0.070711   -3009.631626925683   -3009.630162215122   -3009.638732566123
    45.000    216.000    -0.057206    -0.041563     0.070711   -3009.629358453478   -3009.630806481632   -3009.636270480849
    45.000    234.000    -0.041563    -0.057206     0.070711   -3009.626128425794   -3009.629568310679   -3009.633746805448
    45.000    252.000    -0.021851    -0.067250     0.070711   -3009.622391721207   -3009.627704488212   -3009.632408174020
    45.000    270.000    -0.000000    -0.070711     0.070711   -3009.618649580518   -3009.626649147036   -3009.632750105953
    45.000    288.000     0.021851    -0.067250     0.070711   -3009.615567271285   -3009.627241352865   -3009.634315474742
    45.000    306.000     0.041563    -0.057206     0.070711   -3009.613620508605   -3009.629524261178   -3009.635921221617
    45.000    324.000     0.057206    -0.041563     0.070711   -3009.612825291289   -3009.632839128752   -3009.636222497401
    45.000    342.000     0.067250    -0.021851     0.070711   -3009.612770119945   -3009.635816499805   -3009.634373986947
    45.000    360.000     0.070711    -0.000000     0.070711   -3009.612886194053   -3009.636752107502   -3009.630364011920
    54.000      0.000     0.080902     0.000000     0.058779   -3009.607512477588   -3009.632757426487   -3009.626037253066
    54.000     18.000     0.076942     0.025000     0.058779   -3009.607336582254   -3009.630852614310   -3009.619683353725
    54.000     36.000     0.065451     0.047553     0.058779   -3009.607009647443   -3009.624851309600   -3009.612970716914
    54.000     54.000     0.047553     0.065451     0.058779   -3009.607325034039   -3009.616666283008   -3009.607794086894
    54.000     72.000     0.025000     0.076942     0.058779   -3009.608885975345   -3009.609011112101   -3009.605805104478
    54.000     90.000     0.000000     0.080902     0.058779   -3009.611746801357   -3009.604138457346   -3009.607883522739
    54.000    108.000    -0.025000     0.076942     0.058779   -3009.615393318053   -3009.603036129405   -3009.613676947090
    54.000    126.000    -0.047553     0.065451     0.058779   -3009.619102691959   -3009.605597950844   -3009.621487601074
    54.000    144.000    -0.065451     0.047553     0.058779   -3009.622428971026   -3009.610998504352   -3009.628898571371
    54.000    162.000    -0.076942     0.025000     0.058779   -3009.624891464209   -3009.617652115924   -3009.633761564877
    54.000    180.000    -0.080902     0.000000     0.058779   -3009.625830048078   -3009.623451472895   -3009.634911899703
    54.000    198.000    -0.076942    -0.025000     0.058779   -3009.624909905884   -3009.626579122963   -3009.632700478574
    54.000    216.000    -0.065451    -0.047553     0.058779   -3009.622436272859   -3009.626375110096   -3009.628723392481
    54.000    234.000    -0.047553    -0.065451     0.058779   -3009.619081813318   -3009.623583034841   -3009.624986978935
    54.000    252.000    -0.025000    -0.076942     0.058779   -3009.615358171792   -3009.620083888871   -3009.623177952330
    54.000    270.000    -0.000000    -0.080902     0.058779   -3009.611687579906   -3009.617969911888   -3009.624004848173
    54.000    288.000     0.025000    -0.076942     0.058779   -3009.608766596259   -3009.618353894989   -3009.626856535226
    54.000    306.000     0.047553    -0.065451     0.058779   -3009.607141517009   -3009.621267560508   -3009.630058909922
    54.000    324.000     0.065451    -0.047553     0.058779   -3009.606806843718   -3009.625914882799   -3009.631652919740
    54.000    342.000     0.076942    -0.025000     0.058779   -3009.607199610212   -3009.630528093459   -3009.630350964107
    54.000    360.000     0.080902    -0.000000     0.058779   -3009.607512477589   -3009.632757426487   -3009.626037253064
    63.000      0.000     0.089101     0.000000     0.045399   -3009.603591474687   -3009.628724808535   -3009.622678334176
    63.000     18.000     0.084740     0.027534     0.045399   -3009.603219516030   -3009.627471285052   -3009.615624139926
    63.000     36.000     0.072084     0.052372     0.045399   -3009.602391487666   -3009.621132446062   -3009.607905616710
    63.000     54.000     0.052372     0.072084     0.045399   -3009.602121305451   -3009.611930124730   -3009.601818195868
    63.000     72.000     0.027534     0.084740     0.045399   -3009.603142538812   -3009.603188155190   -3009.599385751688
    63.000     90.000     0.000000     0.089101     0.045399   -3009.605525493313   -3009.597700854024   -3009.601699011454
    63.000    108.000    -0.027534     0.084740     0.045399   -3009.608740003077   -3009.596626224589   -3009.608307351283
    63.000    126.000    -0.052372     0.072084     0.045399   -3009.612127384647   -3009.599802160562   -3009.617096843655
    63.000    144.000    -0.072084     0.052372     0.045399   -3009.615374171739   -3009.606270364673   -3009.625154187805
    63.000    162.000    -0.084740     0.027534     0.045399   -3009.617942092536   -3009.614111212468   -3009.629967181735
    63.000    180.000    -0.089101     0.000000     0.045399   -3009.618960425893   -3009.620690858284   -3009.630255458686
