     Theta        Phi           Ex           Ey           Ez              Nitro_E
    87.805      8.780     0.098756     0.015254     0.003830    -436.523460190354
    87.805     17.561     0.095270     0.030150     0.003830    -436.522534066221
    87.805     26.341     0.089551     0.044339     0.003830    -436.521023492475
    87.805     35.122     0.081733     0.057490     0.003830    -436.519064594099
    87.805     43.902     0.071999     0.069292     0.003830    -436.516873192316
    87.805     52.683     0.060578     0.079471     0.003830    -436.514717338549
    87.805     61.463     0.047737     0.087787     0.003830    -436.512854896747
    87.805     70.244     0.033777     0.094045     0.003830    -436.511463257822
    87.805     79.024     0.019025     0.098099     0.003830    -436.510604289886
    87.805     87.805     0.003827     0.099853     0.003830    -436.510254549002
    87.805     96.585    -0.011460     0.099267     0.003830    -436.510379396060
    87.805    105.366    -0.026479     0.096355     0.003830    -436.510986252380
    87.805    114.146    -0.040877     0.091183     0.003830    -436.512110043408
    87.805    122.927    -0.054317     0.083875     0.003830    -436.513743794902
    87.805    131.707    -0.066484     0.074601     0.003830    -436.515776204788
    87.805    140.488    -0.077092     0.063578     0.003830    -436.517989034294
    87.805    149.268    -0.085894     0.051064     0.003830    -436.520111751383
    87.805    158.049    -0.092682     0.037354     0.003830    -436.521893100734
    87.805    166.829    -0.097298     0.022769     0.003830    -436.523150874283
    87.805    175.610    -0.099633     0.007649     0.003830    -436.523783046070
    87.805    184.390    -0.099633    -0.007649     0.003830    -436.523749512801
    87.805    193.171    -0.097298    -0.022769     0.003830    -436.523050871058
    87.805    201.951    -0.092682    -0.037354     0.003830    -436.521727401756
    87.805    210.732    -0.085894    -0.051064     0.003830    -436.519879316526
    87.805    219.512    -0.077092    -0.063578     0.003830    -436.517686286192
    87.805    228.293    -0.066484    -0.074601     0.003830    -436.515399129375
    87.805    237.073    -0.054317    -0.083875     0.003830    -436.513292436354
    87.805    245.854    -0.040877    -0.091183     0.003830    -436.511592902178
    87.805    254.634    -0.026479    -0.096355     0.003830    -436.510421029079
    87.805    263.415    -0.011460    -0.099267     0.003830    -436.509788063947
    87.805    272.195     0.003827    -0.099853     0.003830    -436.509655504865
    87.805    280.976     0.019025    -0.098099     0.003830    -436.510007761029
    87.805    289.756     0.033777    -0.094045     0.003830    -436.510873762955
    87.805    298.537     0.047737    -0.087787     0.003830    -436.512278718850
    87.805    307.317     0.060578    -0.079471     0.003830    -436.514168566802
    87.805    316.098     0.071999    -0.069292     0.003830    -436.516373564728
    87.805    324.878     0.081733    -0.057490     0.003830    -436.518638212239
    87.805    333.659     0.089551    -0.044339     0.003830    -436.520690651443
    87.805    342.439     0.095270    -0.030150     0.003830    -436.522307707784
    87.805    351.220     0.098756    -0.015254     0.003830    -436.523346187994
    87.805    360.000     0.099927    -0.000000     0.003830    -436.523736748671
    92.195      0.000     0.099927     0.000000    -0.003830    -436.523850266255
    92.195      8.780     0.098756     0.015254    -0.003830    -436.523481911944
    92.195     17.561     0.095270     0.030150    -0.003830    -436.522462687159
    92.195     26.341     0.089551     0.044339    -0.003830    -436.520859660834
    92.195     35.122     0.081733     0.057490    -0.003830    -436.518811539307
    92.195     43.902     0.071999     0.069292    -0.003830    -436.516537074979
    92.195     52.683     0.060578     0.079471    -0.003830    -436.514307071320
    92.195     61.463     0.047737     0.087787    -0.003830    -436.512381369012
    92.195     70.244     0.033777     0.094045    -0.003830    -436.510938202489
    92.195     79.024     0.019025     0.098099    -0.003830    -436.510039391166
    92.195     87.805     0.003827     0.099853    -0.003830    -436.509661363318
    92.195     96.585    -0.011460     0.099267    -0.003830    -436.509769996833
    92.195    105.366    -0.026479     0.096355    -0.003830    -436.510373956425
    92.195    114.146    -0.040877     0.091183    -0.003830    -436.511509638982
    92.195    122.927    -0.054317     0.083875    -0.003830    -436.513170978908
    92.195    131.707    -0.066484     0.074601    -0.003830    -436.515246363165
    92.195    140.488    -0.077092     0.063578    -0.003830    -436.517515920199
    92.195    149.268    -0.085894     0.051064    -0.003830    -436.519706617234
    92.195    158.049    -0.092682     0.037354    -0.003830    -436.521564509113
    92.195    166.829    -0.097298     0.022769    -0.003830    -436.522905071238
    92.195    175.610    -0.099633     0.007649    -0.003830    -436.523624566428
    92.195    184.390    -0.099633    -0.007649    -0.003830    -436.523681633333
    92.195    193.171    -0.097298    -0.022769    -0.003830    -436.523075643011
    92.195    201.951    -0.092682    -0.037354    -0.003830    -436.521845236439
    92.195    210.732    -0.085894    -0.051064    -0.003830    -436.520088343746
    92.195    219.512    -0.077092    -0.063578    -0.003830    -436.517981825777
    92.195    228.293    -0.066484    -0.074601    -0.003830    -436.515773583768
    92.195    237.073    -0.054317    -0.083875    -0.003830    -436.513735775081
    92.195    245.854    -0.040877    -0.091183    -0.003830    -436.512093670346
    92.195    254.634    -0.026479    -0.096355    -0.003830    -436.510967449516
    92.195    263.415    -0.011460    -0.099267    -0.003830    -436.510368563457
    92.195    272.195     0.003827    -0.099853    -0.003830    -436.510258370855
    92.195    280.976     0.019025    -0.098099    -0.003830    -436.510620368480
    92.195    289.756     0.033777    -0.094045    -0.003830    -436.511482041325
    92.195    298.537     0.047737    -0.087787    -0.003830    -436.512867304784
    92.195    307.317     0.060578    -0.079471    -0.003830    -436.514721744520
    92.195    316.098     0.071999    -0.069292    -0.003830    -436.516876617980
    92.195    324.878     0.081733    -0.057490    -0.003830    -436.519078571389
    92.195    333.659     0.089551    -0.044339    -0.003830    -436.521058426475
    92.195    342.439     0.095270    -0.030150    -0.003830    -436.522595564747
    92.195    351.220     0.098756    -0.015254    -0.003830    -436.523548811066
    92.195    360.000     0.099927    -0.000000    -0.003830    -436.523850266254
    96.585      0.000     0.099340     0.000000    -0.011468    -436.524427359201
    96.585      8.780     0.098176     0.015164    -0.011468    -436.523971763816
    96.585     17.561     0.094711     0.029973    -0.011468    -436.522871820498
    96.585     26.341     0.089025     0.044079    -0.011468    -436.521196755430
    96.585     35.122     0.081253     0.057152    -0.011468    -436.519086854813
    96.585     43.902     0.071577     0.068886    -0.011468    -436.516760793611
    96.585     52.683     0.060223     0.079005    -0.011468    -436.514487469128
    96.585     61.463     0.047457     0.087272    -0.011468    -436.512523951219
    96.585     70.244     0.033579     0.093493    -0.011468    -436.511046487775
    96.585     79.024     0.018913     0.097523    -0.011468    -436.510117023719
    96.585     87.805     0.003805     0.099267    -0.011468    -436.509714042341
    96.585     96.585    -0.011393     0.098685    -0.011468    -436.509805655230
    96.585    105.366    -0.026323     0.095789    -0.011468    -436.510401278159
    96.585    114.146    -0.040637     0.090648    -0.011468    -436.511536580640
    96.585    122.927    -0.053998     0.083383    -0.011468    -436.513204822017
    96.585    131.707    -0.066094     0.074163    -0.011468    -436.515295181764
    96.585    140.488    -0.076640     0.063204    -0.011468    -436.517590009947
    96.585    149.268    -0.085390     0.050765    -0.011468    -436.519818720389
    96.585    158.049    -0.092138     0.037135    -0.011468    -436.521728757600
    96.585    166.829    -0.096727     0.022635    -0.011468    -436.523135385610
    96.585    175.610    -0.099049     0.007604    -0.011468    -436.523933472400
    96.585    184.390    -0.099049    -0.007604    -0.011468    -436.524080019917
    96.585    193.171    -0.096727    -0.022635    -0.011468    -436.523573121709
    96.585    201.951    -0.092138    -0.037135    -0.011468    -436.522450125413
    96.585    210.732    -0.085390    -0.050765    -0.011468    -436.520806491812
    96.585    219.512    -0.076640    -0.063204    -0.011468    -436.518814424355
    96.585    228.293    -0.066094    -0.074163    -0.011468    -436.516715084631
    96.585    237.073    -0.053998    -0.083383    -0.011468    -436.514773354087
    96.585    245.854    -0.040637    -0.090648    -0.011468    -436.513209088359
    96.585    254.634    -0.026323    -0.095789    -0.011468    -436.512140730043
    96.585    263.415    -0.011393    -0.098685    -0.011468    -436.511581263788
    96.585    272.195     0.003805    -0.099267    -0.011468    -436.511494119538
    96.585    280.976     0.018913    -0.097523    -0.011468    -436.511862619685
    96.585    289.756     0.033579    -0.093493    -0.011468    -436.512711354108
    96.585    298.537     0.047457    -0.087272    -0.011468    -436.514060844282
    96.585    307.317     0.060223    -0.079005    -0.011468    -436.515855998993
    96.585    316.098     0.071577    -0.068886    -0.011468    -436.517931653413
    96.585    324.878     0.081253    -0.057152    -0.011468    -436.520041150278
    96.585    333.659     0.089025    -0.044079    -0.011468    -436.521922575477
    96.585    342.439     0.094711    -0.029973    -0.011468    -436.523360904567
    96.585    351.220     0.098176    -0.015164    -0.011468    -436.524218042825
    96.585    360.000     0.099340    -0.000000    -0.011468    -436.524427359201
   100.976      0.000     0.098171     0.000000    -0.019039    -436.525456250476
   100.976      8.780     0.097020     0.014986    -0.019039    -436.524919852300
   100.976     17.561     0.093596     0.029620    -0.019039    -436.523753421350
   100.976     26.341     0.087977     0.043560    -0.019039    -436.522028390416
   100.976     35.122     0.080297     0.056480    -0.019039    -436.519885464528
   100.976     43.902     0.070734     0.068075    -0.019039    -436.517540185569
   100.976     52.683     0.059514     0.078075    -0.019039    -436.515254989485
   100.976     61.463     0.046898     0.086244    -0.019039    -436.513279622437
   100.976     70.244     0.033183     0.092393    -0.019039    -436.511785679552
   100.976     79.024     0.018691     0.096375    -0.019039    -436.510835419998
   100.976     87.805     0.003760     0.098099    -0.019039    -436.510411426063
   100.976     96.585    -0.011259     0.097523    -0.019039    -436.510485607607
   100.976    105.366    -0.026013     0.094662    -0.019039    -436.511067611365
   100.976    114.146    -0.040159     0.089581    -0.019039    -436.512190274903
   100.976    122.927    -0.053362     0.082401    -0.019039    -436.513844685297
   100.976    131.707    -0.065316     0.073290    -0.019039    -436.515921883687
   100.976    140.488    -0.075738     0.062460    -0.019039    -436.518210158315
   100.976    149.268    -0.084385     0.050167    -0.019039    -436.520446178053
   100.976    158.049    -0.091054     0.036698    -0.019039    -436.522382809026
   100.976    166.829    -0.095588     0.022369    -0.019039    -436.523837277416
   100.976    175.610    -0.097883     0.007515    -0.019039    -436.524703498158
   100.976    184.390    -0.097883    -0.007515    -0.019039    -436.524936537044
   100.976    193.171    -0.095588    -0.022369    -0.019039    -436.524533126742
   100.976    201.951    -0.091054    -0.036698    -0.019039    -436.523529564728
   100.976    210.732    -0.084385    -0.050167    -0.019039    -436.522018601784
   100.976    219.512    -0.075738    -0.062460    -0.019039    -436.520166049098
   100.976    228.293    -0.065316    -0.073290    -0.019039    -436.518202801197
   100.976    237.073    -0.053362    -0.082401    -0.019039    -436.516381988984
   100.976    245.854    -0.040159    -0.089581    -0.019039    -436.514914314298
   100.976    254.634    -0.026013    -0.094662    -0.019039    -436.513915044059
   100.976    263.415    -0.011259    -0.097523    -0.019039    -436.513399756832
   100.976    272.195     0.003760    -0.098099    -0.019039    -436.513335892105
   100.976    280.976     0.018691    -0.096375    -0.019039    -436.513707302130
   100.976    289.756     0.033183    -0.092393    -0.019039    -436.514534476515
   100.976    298.537     0.046898    -0.086244    -0.019039    -436.515832781767
   100.976    307.317     0.059514    -0.078075    -0.019039    -436.517546283282
   100.976    316.098     0.070734    -0.068075    -0.019039    -436.519515817935
   100.976    324.878     0.080297    -0.056480    -0.019039    -436.521505611028
   100.976    333.659     0.087977    -0.043560    -0.019039    -436.523265230326
   100.976    342.439     0.093596    -0.029620    -0.019039    -436.524588081633
   100.976    351.220     0.097020    -0.014986    -0.019039    -436.525340223273
   100.976    360.000     0.098171    -0.000000    -0.019039    -436.525456250477
   105.366      0.000     0.096425     0.000000    -0.026498    -436.526915905353
   105.366      8.780     0.095295     0.014719    -0.026498    -436.526306952615
   105.366     17.561     0.091932     0.029094    -0.026498    -436.525089879723
   105.366     26.341     0.086413     0.042786    -0.026498    -436.523338115041
   105.366     35.122     0.078869     0.055475    -0.026498    -436.521191419899
   105.366     43.902     0.069477     0.066864    -0.026498    -436.518859199164
   105.366     52.683     0.058455     0.076686    -0.026498    -436.516593201657
   105.366     61.463     0.046064     0.084711    -0.026498    -436.514631739647
   105.366     70.244     0.032593     0.090750    -0.026498    -436.513139375262
   105.366     79.024     0.018359     0.094662    -0.026498    -436.512178796920
   105.366     87.805     0.003693     0.096355    -0.026498    -436.511738374420
   105.366     96.585    -0.011058     0.095789    -0.026498    -436.511795080307
   105.366    105.366    -0.025551     0.092978    -0.026498    -436.512358293897
   105.366    114.146    -0.039445     0.087988    -0.026498    -436.513456216020
   105.366    122.927    -0.052414     0.080936    -0.026498    -436.515076530636
   105.366    131.707    -0.064154     0.071987    -0.026498    -436.517113165927
   105.366    140.488    -0.074391     0.061350    -0.026498    -436.519363728383
   105.366    149.268    -0.082884     0.049275    -0.026498    -436.521576552418
   105.366    158.049    -0.089435     0.036045    -0.026498    -436.523513731241
   105.366    166.829    -0.093889     0.021971    -0.026498    -436.524996666595
   105.366    175.610    -0.096142     0.007381    -0.026498    -436.525918978176
   105.366    184.390    -0.096142    -0.007381    -0.026498    -436.526233680070
   105.366    193.171    -0.093889    -0.021971    -0.026498    -436.525936049618
   105.366    201.951    -0.089435    -0.036045    -0.026498    -436.525061396015
   105.366    210.732    -0.082884    -0.049275    -0.026498    -436.523699370248
   105.366    219.512    -0.074391    -0.061350    -0.026498    -436.522007760487
   105.366    228.293    -0.064154    -0.071987    -0.026498    -436.520204090998
   105.366    237.073    -0.052414    -0.080936    -0.026498    -436.518525858810
   105.366    245.854    -0.039445    -0.087988    -0.026498    -436.517171324904
   105.366    254.634    -0.025551    -0.092978    -0.026498    -436.516251172900
   105.366    263.415    -0.011058    -0.095789    -0.026498    -436.515784243828
   105.366    272.195     0.003693    -0.096355    -0.026498    -436.515743475465
   105.366    280.976     0.018359    -0.094662    -0.026498    -436.516113858394
   105.366    289.756     0.032593    -0.090750    -0.026498    -436.516910930092
   105.366    298.537     0.046064    -0.084711    -0.026498    -436.518143653516
   105.366    307.317     0.058455    -0.076686    -0.026498    -436.519755307657
   105.366    316.098     0.069477    -0.066864    -0.026498    -436.521594889121
   105.366    324.878     0.078869    -0.055475    -0.026498    -436.523441112067
   105.366    333.659     0.086413    -0.042786    -0.026498    -436.525058685327
   105.366    342.439     0.091932    -0.029094    -0.026498    -436.526252003817
   105.366    351.220     0.095295    -0.014719    -0.026498    -436.526892408493
   105.366    360.000     0.096425    -0.000000    -0.026498    -436.526915905353
   109.756      0.000     0.094114     0.000000    -0.033802    -436.528776387617
   109.756      8.780     0.093011     0.014366    -0.033802    -436.528104821960
   109.756     17.561     0.089728     0.028396    -0.033802    -436.526854262711
   109.756     26.341     0.084342     0.041760    -0.033802    -436.525099596901
   109.756     35.122     0.076979     0.054146    -0.033802    -436.522978072343
   109.756     43.902     0.067811     0.065262    -0.033802    -436.520690109115
   109.756     52.683     0.057054     0.074848    -0.033802    -436.518473070191
   109.756     61.463     0.044960     0.082680    -0.033802    -436.516550369350
   109.756     70.244     0.031812     0.088574    -0.033802    -436.515077532958
   109.756     79.024     0.017918     0.092393    -0.033802    -436.514117641559
   109.756     87.805     0.003605     0.094045    -0.033802    -436.513666011856
   109.756     96.585    -0.010793     0.093493    -0.033802    -436.513705530001
   109.756    105.366    -0.024938     0.090750    -0.033802    -436.514244876471
   109.756    114.146    -0.038499     0.085879    -0.033802    -436.515306277755
   109.756    122.927    -0.051157     0.078996    -0.033802    -436.516873195009
   109.756    131.707    -0.062616     0.070261    -0.033802    -436.518843417577
   109.756    140.488    -0.072608     0.059879    -0.033802    -436.521026749585
   109.756    149.268    -0.080898     0.048094    -0.033802    -436.523186982834
   109.756    158.049    -0.087291     0.035181    -0.033802    -436.525098853538
   109.756    166.829    -0.091638     0.021444    -0.033802    -436.526590146929
   109.756    175.610    -0.093838     0.007204    -0.033802    -436.527555115132
   109.756    184.390    -0.093838    -0.007204    -0.033802    -436.527944866422
   109.756    193.171    -0.091638    -0.021444    -0.033802    -436.527753143966
   109.756    201.951    -0.087291    -0.035181    -0.033802    -436.527014107768
   109.756    210.732    -0.080898    -0.048094    -0.033802    -436.525813711211
   109.756    219.512    -0.072608    -0.059879    -0.033802    -436.524300191805
   109.756    228.293    -0.062616    -0.070261    -0.033802    -436.522675120968
   109.756    237.073    -0.051157    -0.078996    -0.033802    -436.521157236894
   109.756    245.854    -0.038499    -0.085879    -0.033802    -436.519929681191
   109.756    254.634    -0.024938    -0.090750    -0.033802    -436.519097235732
   109.756    263.415    -0.010793    -0.093493    -0.033802    -436.518682213888
   109.756    272.195     0.003605    -0.094045    -0.033802    -436.518663972952
   109.756    280.976     0.017918    -0.092393    -0.033802    -436.519029106064
   109.756    289.756     0.031812    -0.088574    -0.033802    -436.519787766757
   109.756    298.537     0.044960    -0.082680    -0.033802    -436.520941885479
   109.756    307.317     0.057054    -0.074848    -0.033802    -436.522434267810
   109.756    316.098     0.067811    -0.065262    -0.033802    -436.524123873723
   109.756    324.878     0.076979    -0.054146    -0.033802    -436.525806773256
   109.756    333.659     0.084342    -0.041760    -0.033802    -436.527265775602
   109.756    342.439     0.089728    -0.028396    -0.033802    -436.528318484902
   109.756    351.220     0.093011    -0.014366    -0.033802    -436.528842730815
   109.756    360.000     0.094114    -0.000000    -0.033802    -436.528776387616
   114.146      0.000     0.091250     0.000000    -0.040907    -436.530999353532
   114.146      8.780     0.090181     0.013929    -0.040907    -436.530276641165
   114.146     17.561     0.086998     0.027532    -0.040907    -436.529010678885
   114.146     26.341     0.081775     0.040490    -0.040907    -436.527276935813
   114.146     35.122     0.074636     0.052498    -0.040907    -436.525208405513
   114.146     43.902     0.065748     0.063276    -0.040907    -436.522993935824
   114.146     52.683     0.055318     0.072571    -0.040907    -436.520853484293
   114.146     61.463     0.043592     0.080165    -0.040907    -436.518992886718
   114.146     70.244     0.030844     0.085879    -0.040907    -436.517557062404
   114.146     79.024     0.017373     0.089581    -0.040907    -436.516609238411
   114.146     87.805     0.003495     0.091183    -0.040907    -436.516152199761
   114.146     96.585    -0.010465     0.090648    -0.040907    -436.516175118267
   114.146    105.366    -0.024180     0.087988    -0.040907    -436.516685646816
   114.146    114.146    -0.037328     0.083266    -0.040907    -436.517699276105
   114.146    122.927    -0.049601     0.076592    -0.040907    -436.519194926888
   114.146    131.707    -0.060711     0.068123    -0.040907    -436.521075165039
   114.146    140.488    -0.070399     0.058057    -0.040907    -436.523164256165
   114.146    149.268    -0.078436     0.046631    -0.040907    -436.525244460303
   114.146    158.049    -0.084635     0.034111    -0.040907    -436.527106048501
   114.146    166.829    -0.088850     0.020792    -0.040907    -436.528585328699
   114.146    175.610    -0.090983     0.006985    -0.040907    -436.529578388250
   114.146    184.390    -0.090983    -0.006985    -0.040907    -436.530034874157
   114.146    193.171    -0.088850    -0.020792    -0.040907    -436.529946960209
   114.146    201.951    -0.084635    -0.034111    -0.040907    -436.529347274882
   114.146    210.732    -0.078436    -0.046631    -0.040907    -436.528317258780
   114.146    219.512    -0.070399    -0.058057    -0.040907    -436.526994188219
   114.146    228.293    -0.060711    -0.068123    -0.040907    -436.525561680686
   114.146    237.073    -0.049601    -0.076592    -0.040907    -436.524217448446
   114.146    245.854    -0.037328    -0.083266    -0.040907    -436.523127543901
   114.146    254.634    -0.024180    -0.087988    -0.040907    -436.522389674873
   114.146    263.415    -0.010465    -0.090648    -0.040907    -436.522029372080
   114.146    272.195     0.003495    -0.091183    -0.040907    -436.522032719718
   114.146    280.976     0.017373    -0.089581    -0.040907    -436.522388204310
   114.146    289.756     0.030844    -0.085879    -0.040907    -436.523100601036
   114.146    298.537     0.043592    -0.080165    -0.040907    -436.524164829393
   114.146    307.317     0.055318    -0.072571    -0.040907    -436.525523786795
   114.146    316.098     0.065748    -0.063276    -0.040907    -436.527047788157
   114.146    324.878     0.074636    -0.052498    -0.040907    -436.528552296259
   114.146    333.659     0.081775    -0.040490    -0.040907    -436.529840396898
   114.146    342.439     0.086998    -0.027532    -0.040907    -436.530744736526
   114.146    351.220     0.090181    -0.013929    -0.040907    -436.531150900077
   114.146    360.000     0.091250    -0.000000    -0.040907    -436.530999353531
   118.537      0.000     0.087851     0.000000    -0.047772    -436.533538664572
   118.537      8.780     0.086822     0.013410    -0.047772    -436.532777570660
   118.537     17.561     0.083757     0.026507    -0.047772    -436.531514762473
   118.537     26.341     0.078729     0.038981    -0.047772    -436.529825116007
   118.537     35.122     0.071856     0.050542    -0.047772    -436.527835536355
   118.537     43.902     0.063299     0.060919    -0.047772    -436.525721069405
   118.537     52.683     0.053258     0.069867    -0.047772    -436.523682022837
   118.537     61.463     0.041968     0.077178    -0.047772    -436.521904826333
   118.537     70.244     0.029695     0.082680    -0.047772    -436.520522666935
   118.537     79.024     0.016726     0.086244    -0.047772    -436.519598438150
   118.537     87.805     0.003365     0.087787    -0.047772    -436.519142244790
   118.537     96.585    -0.010075     0.087272    -0.047772    -436.519149427016
   118.537    105.366    -0.023279     0.084711    -0.047772    -436.519626406018
   118.537    114.146    -0.035937     0.080165    -0.047772    -436.520581790043
   118.537    122.927    -0.047753     0.073739    -0.047772    -436.521990170689
   118.537    131.707    -0.058450     0.065586    -0.047772    -436.523759737934
   118.537    140.488    -0.067776     0.055895    -0.047772    -436.525730809841
   118.537    149.268    -0.075514     0.044894    -0.047772    -436.527706252552
   118.537    158.049    -0.081482     0.032840    -0.047772    -436.529494142459
   118.537    166.829    -0.085540     0.020017    -0.047772    -436.530941302137
   118.537    175.610    -0.087593     0.006725    -0.047772    -436.531947085270
   118.537    184.390    -0.087593    -0.006725    -0.047772    -436.532460411367
   118.537    193.171    -0.085540    -0.020017    -0.047772    -436.532471917632
   118.537    201.951    -0.081482    -0.032840    -0.047772    -436.532012140471
   118.537    210.732    -0.075514    -0.044894    -0.047772    -436.531157018353
   118.537    219.512    -0.067776    -0.055895    -0.047772    -436.530031606484
   118.537    228.293    -0.058450    -0.065586    -0.047772    -436.528800175977
   118.537    237.073    -0.047753    -0.073739    -0.047772    -436.527638033425
   118.537    245.854    -0.035937    -0.080165    -0.047772    -436.526692918634
   118.537    254.634    -0.023279    -0.084711    -0.047772    -436.526054488337
   118.537    263.415    -0.010075    -0.087272    -0.047772    -436.525750821972
   118.537    272.195     0.003365    -0.087787    -0.047772    -436.525774451575
   118.537    280.976     0.016726    -0.086244    -0.047772    -436.526115867289
   118.537    289.756     0.029695    -0.082680    -0.047772    -436.526774876822
   118.537    298.537     0.041968    -0.077178    -0.047772    -436.527740015846
   118.537    307.317     0.053258    -0.069867    -0.047772    -436.528955053451
   118.537    316.098     0.063299    -0.060919    -0.047772    -436.530302615755
   118.537    324.878     0.071856    -0.050542    -0.047772    -436.531618745658
   118.537    333.659     0.078729    -0.038981    -0.047772    -436.532728174077
   118.537    342.439     0.083757    -0.026507    -0.047772    -436.533479998596
   118.537    351.220     0.086822    -0.013410    -0.047772    -436.533768833085
   118.537    360.000     0.087851    -0.000000    -0.047772    -436.533538664571
   122.927      0.000     0.083937     0.000000    -0.054357    -436.536341100649
   122.927      8.780     0.082953     0.012813    -0.054357    -436.535555408564
   122.927     17.561     0.080025     0.025325    -0.054357    -436.534314277408
   122.927     26.341     0.075221     0.037244    -0.054357    -436.532690606135
   122.927     35.122     0.068654     0.048290    -0.054357    -436.530803394104
   122.927     43.902     0.060478     0.058204    -0.054357    -436.528812097545
   122.927     52.683     0.050884     0.066754    -0.054357    -436.526895941345
   122.927     61.463     0.040098     0.073739    -0.054357    -436.525220965026
   122.927     70.244     0.028372     0.078996    -0.054357    -436.523907922806
   122.927     79.024     0.015981     0.082401    -0.054357    -436.523018668004
   122.927     87.805     0.003215     0.083875    -0.054357    -436.522569852572
   122.927     96.585    -0.009626     0.083383    -0.054357    -436.522562421890
   122.927    105.366    -0.022242     0.080936    -0.054357    -436.523001492038
   122.927    114.146    -0.034336     0.076592    -0.054357    -436.523889223602
   122.927    122.927    -0.045625     0.070453    -0.054357    -436.525196580921
   122.927    131.707    -0.055845     0.062663    -0.054357    -436.526838146576
   122.927    140.488    -0.064756     0.053404    -0.054357    -436.528671209981
   122.927    149.268    -0.072149     0.042893    -0.054357    -436.530520489311
   122.927    158.049    -0.077851     0.031377    -0.054357    -436.532213459943
   122.927    166.829    -0.081729     0.019125    -0.054357    -436.533609215248
   122.927    175.610    -0.083690     0.006425    -0.054357    -436.534611941157
   122.927    184.390    -0.083690    -0.006425    -0.054357    -436.535170798272
   122.927    193.171    -0.081729    -0.019125    -0.054357    -436.535275004411
   122.927    201.951    -0.077851    -0.031377    -0.054357    -436.534952342183
   122.927    210.732    -0.072149    -0.042893    -0.054357    -436.534272174089
   122.927    219.512    -0.064756    -0.053404    -0.054357    -436.533346277788
   122.927    228.293    -0.055845    -0.062663    -0.054357    -436.532318793048
   122.927    237.073    -0.045625    -0.070453    -0.054357    -436.531342094093
   122.927    245.854    -0.034336    -0.076592    -0.054357    -436.530545108991
   122.927    254.634    -0.022242    -0.080936    -0.054357    -436.530008697578
   122.927    263.415    -0.009626    -0.083383    -0.054357    -436.529762502980
   122.927    272.195     0.003215    -0.083875    -0.054357    -436.529804731569
   122.927    280.976     0.015981    -0.082401    -0.054357    -436.530127821117
   122.927    289.756     0.028372    -0.078996    -0.054357    -436.530727353383
   122.927    298.537     0.040098    -0.073739    -0.054357    -436.531586603218
   122.927    307.317     0.050884    -0.066754    -0.054357    -436.532651141614
   122.927    316.098     0.060478    -0.058204    -0.054357    -436.533816437090
   122.927    324.878     0.068654    -0.048290    -0.054357    -436.534939496680
   122.927    333.659     0.075221    -0.037244    -0.054357    -436.535867284484
   122.927    342.439     0.080025    -0.025325    -0.054357    -436.536466305435
   122.927    351.220     0.082953    -0.012813    -0.054357    -436.536641397399
   122.927    360.000     0.083937    -0.000000    -0.054357    -436.536341100649
   127.317      0.000     0.079529     0.000000    -0.060623    -436.539347159883
   127.317      8.780     0.078597     0.012140    -0.060623    -436.538551343398
   127.317     17.561     0.075823     0.023996    -0.060623    -436.537349844572
   127.317     26.341     0.071271     0.035289    -0.060623    -436.535812117671
   127.317     35.122     0.065049     0.045755    -0.060623    -436.534047585690
   127.317     43.902     0.057303     0.055148    -0.060623    -436.532198834914
   127.317     52.683     0.048213     0.063249    -0.060623    -436.530423366097
   127.317     61.463     0.037993     0.069867    -0.060623    -436.528866616656
   127.317     70.244     0.026882     0.074848    -0.060623    -436.527636582208
   127.317     79.024     0.015142     0.078075    -0.060623    -436.526793182984
   127.317     87.805     0.003046     0.079471    -0.060623    -436.526358334812
   127.317     96.585    -0.009121     0.079005    -0.060623    -436.526337668794
   127.317    105.366    -0.021074     0.076686    -0.060623    -436.526735043411
   127.317    114.146    -0.032533     0.072571    -0.060623    -436.527547090860
   127.317    122.927    -0.043230     0.066754    -0.060623    -436.528742246429
   127.317    131.707    -0.052913     0.059373    -0.060623    -436.530242160858
   127.317    140.488    -0.061356     0.050600    -0.060623    -436.531921393945
   127.317    149.268    -0.068361     0.040641    -0.060623    -436.533626917702
   127.317    158.049    -0.073764     0.029729    -0.060623    -436.535206509126
   127.317    166.829    -0.077437     0.018121    -0.060623    -436.536532962632
   127.317    175.610    -0.079296     0.006088    -0.060623    -436.537516869815
   127.317    184.390    -0.079296    -0.006088    -0.060623    -436.538108745543
   127.317    193.171    -0.077437    -0.018121    -0.060623    -436.538296595528
   127.317    201.951    -0.073764    -0.029729    -0.060623    -436.538104783203
   127.317    210.732    -0.068361    -0.040641    -0.060623    -436.537595058875
   127.317    219.512    -0.061356    -0.050600    -0.060623    -436.536865137170
   127.317    228.293    -0.052913    -0.059373    -0.060623    -436.536038826437
   127.317    237.073    -0.043230    -0.066754    -0.060623    -436.535245809990
   127.317    245.854    -0.032533    -0.072571    -0.060623    -436.534596356726
   127.317    254.634    -0.021074    -0.076686    -0.060623    -436.534162034889
   127.317    263.415    -0.009121    -0.079005    -0.060623    -436.533972875819
   127.317    272.195     0.003046    -0.079471    -0.060623    -436.534031631112
   127.317    280.976     0.015142    -0.078075    -0.060623    -436.534332496048
   127.317    289.756     0.026882    -0.074848    -0.060623    -436.534867794324
   127.317    298.537     0.037993    -0.069867    -0.060623    -436.535617003946
