     Theta        Phi           Ex           Ey           Ez              Nitro_E
    13.171    254.634    -0.006038    -0.021971     0.097370    -436.561362347108
    13.171    263.415    -0.002613    -0.022635     0.097370    -436.561217818700
    13.171    272.195     0.000873    -0.022769     0.097370    -436.561142291206
    13.171    280.976     0.004338    -0.022369     0.097370    -436.561138066284
    13.171    289.756     0.007702    -0.021444     0.097370    -436.561203928763
    13.171    298.537     0.010885    -0.020017     0.097370    -436.561335253479
    13.171    307.317     0.013813    -0.018121     0.097370    -436.561524325051
    13.171    316.098     0.016417    -0.015800     0.097370    -436.561760874930
    13.171    324.878     0.018637    -0.013109     0.097370    -436.562032819782
    13.171    333.659     0.020419    -0.010110     0.097370    -436.562327153010
    13.171    342.439     0.021723    -0.006875     0.097370    -436.562630908594
    13.171    351.220     0.022518    -0.003478     0.097370    -436.562932095479
    13.171    360.000     0.022785    -0.000000     0.097370    -436.563220498709
    17.561      0.000     0.030172     0.000000     0.095340    -436.561350200848
    17.561      8.780     0.029818     0.004606     0.095340    -436.561689457398
    17.561     17.561     0.028766     0.009104     0.095340    -436.561981368726
    17.561     26.341     0.027039     0.013388     0.095340    -436.562224845697
    17.561     35.122     0.024679     0.017359     0.095340    -436.562423045553
    17.561     43.902     0.021740     0.020922     0.095340    -436.562582306922
    17.561     52.683     0.018291     0.023996     0.095340    -436.562710808557
    17.561     61.463     0.014414     0.026507     0.095340    -436.562817149970
    17.561     70.244     0.010199     0.028396     0.095340    -436.562909054564
    17.561     79.024     0.005744     0.029620     0.095340    -436.562992349635
    17.561     87.805     0.001156     0.030150     0.095340    -436.563070293985
    17.561     96.585    -0.003460     0.029973     0.095340    -436.563143237222
    17.561    105.366    -0.007995     0.029094     0.095340    -436.563208546488
    17.561    114.146    -0.012342     0.027532     0.095340    -436.563260746318
    17.561    122.927    -0.016401     0.025325     0.095340    -436.563291867736
    17.561    131.707    -0.020074     0.022525     0.095340    -436.563292048690
    17.561    140.488    -0.023277     0.019197     0.095340    -436.563250428524
    17.561    149.268    -0.025935     0.015418     0.095340    -436.563156325141
    17.561    158.049    -0.027985     0.011279     0.095340    -436.563000601185
    17.561    166.829    -0.029378     0.006875     0.095340    -436.562777054760
    17.561    175.610    -0.030084     0.002310     0.095340    -436.562483639651
    17.561    184.390    -0.030084    -0.002310     0.095340    -436.562123334366
    17.561    193.171    -0.029378    -0.006875     0.095340    -436.561704525410
    17.561    201.951    -0.027985    -0.011279     0.095340    -436.561240831842
    17.561    210.732    -0.025935    -0.015418     0.095340    -436.560750365882
    17.561    219.512    -0.023277    -0.019197     0.095340    -436.560254496348
    17.561    228.293    -0.020074    -0.022525     0.095340    -436.559776254080
    17.561    237.073    -0.016401    -0.025325     0.095340    -436.559338577944
    17.561    245.854    -0.012342    -0.027532     0.095340    -436.558962623752
    17.561    254.634    -0.007995    -0.029094     0.095340    -436.558666327768
    17.561    263.415    -0.003460    -0.029973     0.095340    -436.558463334562
    17.561    272.195     0.001156    -0.030150     0.095340    -436.558362298537
    17.561    280.976     0.005744    -0.029620     0.095340    -436.558366499197
    17.561    289.756     0.010199    -0.028396     0.095340    -436.558473706503
    17.561    298.537     0.014414    -0.026507     0.095340    -436.558676288157
    17.561    307.317     0.018291    -0.023996     0.095340    -436.558961617899
    17.561    316.098     0.021740    -0.020922     0.095340    -436.559312866839
    17.561    324.878     0.024679    -0.017359     0.095340    -436.559710212129
    17.561    333.659     0.027039    -0.013388     0.095340    -436.560132398422
    17.561    342.439     0.028766    -0.009104     0.095340    -436.560558486481
    17.561    351.220     0.029818    -0.004606     0.095340    -436.560969564778
    17.561    360.000     0.030172    -0.000000     0.095340    -436.561350200848
    21.951      0.000     0.037382     0.000000     0.092750    -436.559080978550
    21.951      8.780     0.036944     0.005706     0.092750    -436.559479305849
    21.951     17.561     0.035640     0.011279     0.092750    -436.559802277286
    21.951     26.341     0.033500     0.016587     0.092750    -436.560051561612
    21.951     35.122     0.030576     0.021506     0.092750    -436.560235510050
    21.951     43.902     0.026934     0.025922     0.092750    -436.560367320454
    21.951     52.683     0.022662     0.029729     0.092750    -436.560462731061
    21.951     61.463     0.017858     0.032840     0.092750    -436.560537600560
    21.951     70.244     0.012636     0.035181     0.092750    -436.560605769011
    21.951     79.024     0.007117     0.036698     0.092750    -436.560677507568
    21.951     87.805     0.001432     0.037354     0.092750    -436.560758661309
    21.951     96.585    -0.004287     0.037135     0.092750    -436.560850361604
    21.951    105.366    -0.009905     0.036045     0.092750    -436.560949064381
    21.951    114.146    -0.015292     0.034111     0.092750    -436.561046732084
    21.951    122.927    -0.020319     0.031377     0.092750    -436.561131168473
    21.951    131.707    -0.024871     0.027907     0.092750    -436.561186688718
    21.951    140.488    -0.028840     0.023784     0.092750    -436.561195330265
    21.951    149.268    -0.032132     0.019103     0.092750    -436.561138664267
    21.951    158.049    -0.034672     0.013974     0.092750    -436.561000047572
    21.951    166.829    -0.036398     0.008518     0.092750    -436.560766986827
    21.951    175.610    -0.037272     0.002862     0.092750    -436.560433237845
    21.951    184.390    -0.037272    -0.002862     0.092750    -436.560000322139
    21.951    193.171    -0.036398    -0.008518     0.092750    -436.559478248856
    21.951    201.951    -0.034672    -0.013974     0.092750    -436.558885333513
    21.951    210.732    -0.032132    -0.019103     0.092750    -436.558247094581
    21.951    219.512    -0.028840    -0.023784     0.092750    -436.557594308158
    21.951    228.293    -0.024871    -0.027907     0.092750    -436.556960430592
    21.951    237.073    -0.020319    -0.031377     0.092750    -436.556378739855
    21.951    245.854    -0.015292    -0.034111     0.092750    -436.555879632870
    21.951    254.634    -0.009905    -0.036045     0.092750    -436.555488472369
    21.951    263.415    -0.004287    -0.037135     0.092750    -436.555224181509
    21.951    272.195     0.001432    -0.037354     0.092750    -436.555098516215
    21.951    280.976     0.007117    -0.036698     0.092750    -436.555115755296
    21.951    289.756     0.012636    -0.035181     0.092750    -436.555272559948
    21.951    298.537     0.017858    -0.032840     0.092750    -436.555557957202
    21.951    307.317     0.022662    -0.029729     0.092750    -436.555953646464
    21.951    316.098     0.026934    -0.025922     0.092750    -436.556434931529
    21.951    324.878     0.030576    -0.021506     0.092750    -436.556972462544
    21.951    333.659     0.033500    -0.016587     0.092750    -436.557534707162
    21.951    342.439     0.035640    -0.011279     0.092750    -436.558090815438
    21.951    351.220     0.036944    -0.005706     0.092750    -436.558613423365
    21.951    360.000     0.037382    -0.000000     0.092750    -436.559080978550
    26.341      0.000     0.044372     0.000000     0.089617    -436.556476061771
    26.341      8.780     0.043852     0.006773     0.089617    -436.556919428830
    26.341     17.561     0.042304     0.013388     0.089617    -436.557253189018
    26.341     26.341     0.039765     0.019689     0.089617    -436.557483053892
