     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
    62.000     80.000     0.015332     0.086953     0.046947   -3010.302653985010   -3010.301103287601
    62.000     81.000     0.013812     0.087208     0.046947   -3010.302755897464   -3010.301216387174
    62.000     82.000     0.012288     0.087435     0.046947   -3010.302861845013   -3010.301343993719
    62.000     83.000     0.010760     0.087637     0.046947   -3010.302971772329   -3010.301486010796
    62.000     84.000     0.009229     0.087811     0.046947   -3010.303085618616   -3010.301642324964
    62.000     85.000     0.007695     0.087959     0.046947   -3010.303203317796   -3010.301812805840
    62.000     86.000     0.006159     0.088080     0.046947   -3010.303324798622   -3010.301997306134
    62.000     87.000     0.004621     0.088174     0.046947   -3010.303449984912   -3010.302195661725
    62.000     88.000     0.003081     0.088241     0.046947   -3010.303578795767   -3010.302407691780
    62.000     89.000     0.001541     0.088281     0.046947   -3010.303711145831   -3010.302633198904
    63.000     69.000     0.031931     0.083183     0.045399   -3010.301264127544   -3010.300228099354
    63.000     70.000     0.030474     0.083727     0.045399   -3010.301315923569   -3010.300178878198
    63.000     71.000     0.029008     0.084246     0.045399   -3010.301372009112   -3010.300144339891
    63.000     72.000     0.027534     0.084740     0.045399   -3010.301432390650   -3010.300124570548
    63.000     73.000     0.026051     0.085207     0.045399   -3010.301497069452   -3010.300119640272
    63.000     74.000     0.024559     0.085649     0.045399   -3010.301566041496   -3010.300129602945
    63.000     75.000     0.023061     0.086065     0.045399   -3010.301639297336   -3010.300154496047
    63.000     76.000     0.021555     0.086454     0.045399   -3010.301716822051   -3010.300194340434
    63.000     77.000     0.020043     0.086817     0.045399   -3010.301798595154   -3010.300249140204
    63.000     78.000     0.018525     0.087154     0.045399   -3010.301884590534   -3010.300318882541
    63.000     79.000     0.017001     0.087464     0.045399   -3010.301974776401   -3010.300403537570
    63.000     80.000     0.015472     0.087747     0.045399   -3010.302069115294   -3010.300503058265
    63.000     81.000     0.013938     0.088004     0.045399   -3010.302167564066   -3010.300617380386
    63.000     82.000     0.012400     0.088234     0.045399   -3010.302270073953   -3010.300746422349
    63.000     83.000     0.010859     0.088437     0.045399   -3010.302376590591   -3010.300890085257
    63.000     84.000     0.009314     0.088613     0.045399   -3010.302487054166   -3010.301048252890
    63.000     85.000     0.007766     0.088762     0.045399   -3010.302601399521   -3010.301220791679
    63.000     86.000     0.006215     0.088884     0.045399   -3010.302719556329   -3010.301407550817
    63.000     87.000     0.004663     0.088979     0.045399   -3010.302841449296   -3010.301608362293
    63.000     88.000     0.003110     0.089046     0.045399   -3010.302966998407   -3010.301823041069
    63.000     89.000     0.001555     0.089087     0.045399   -3010.303096119178   -3010.302051385186
    64.000     69.000     0.032210     0.083910     0.043837   -3010.300737982914   -3010.299654919032
    64.000     70.000     0.030741     0.084459     0.043837   -3010.300785985541   -3010.299604544353
    64.000     71.000     0.029262     0.084983     0.043837   -3010.300838287660   -3010.299569061560
    64.000     72.000     0.027774     0.085480     0.043837   -3010.300894896867   -3010.299548558128
    64.000     73.000     0.026278     0.085952     0.043837   -3010.300955815583   -3010.299543105207
    64.000     74.000     0.024774     0.086398     0.043837   -3010.301021040919   -3010.299552757373
    64.000     75.000     0.023263     0.086817     0.043837   -3010.301090564627   -3010.299577552453
    64.000     76.000     0.021744     0.087210     0.043837   -3010.301164372961   -3010.299617511330
    64.000     77.000     0.020218     0.087576     0.043837   -3010.301242446621   -3010.299672637750
    64.000     78.000     0.018687     0.087915     0.043837   -3010.301324760666   -3010.299742918226
    64.000     79.000     0.017150     0.088228     0.043837   -3010.301411284504   -3010.299828321843
    64.000     80.000     0.015607     0.088514     0.043837   -3010.301501981836   -3010.299928800187
    64.000     81.000     0.014060     0.088773     0.043837   -3010.301596810661   -3010.300044287256
    64.000     82.000     0.012509     0.089005     0.043837   -3010.301695723336   -3010.300174699375
    64.000     83.000     0.010954     0.089209     0.043837   -3010.301798666638   -3010.300319935206
    64.000     84.000     0.009395     0.089387     0.043837   -3010.301905581847   -3010.300479875693
    64.000     85.000     0.007834     0.089537     0.043837   -3010.302016404875   -3010.300654384120
    64.000     86.000     0.006270     0.089660     0.043837   -3010.302131066485   -3010.300843306163
    64.000     87.000     0.004704     0.089756     0.043837   -3010.302249492433   -3010.301046469964
    64.000     88.000     0.003137     0.089825     0.043837   -3010.302371603757   -3010.301263686288
    64.000     89.000     0.001569     0.089866     0.043837   -3010.302497317025   -3010.301494748648
    65.000     69.000     0.032479     0.084611     0.042262   -3010.300231651085   -3010.299108558709
    65.000     70.000     0.030998     0.085165     0.042262   -3010.300275749644   -3010.299057056078
    65.000     71.000     0.029506     0.085693     0.042262   -3010.300324153609   -3010.299020646881
    65.000     72.000     0.028006     0.086195     0.042262   -3010.300376871709   -3010.298999419907
    65.000     73.000     0.026498     0.086671     0.042262   -3010.300433907529   -3010.298993447248
    65.000     74.000     0.024981     0.087120     0.042262   -3010.300495259410   -3010.299002784124
    65.000     75.000     0.023457     0.087543     0.042262   -3010.300560920319   -3010.299027468665
    65.000     76.000     0.021926     0.087939     0.042262   -3010.300630877759   -3010.299067521702
    65.000     77.000     0.020387     0.088308     0.042262   -3010.300705113688   -3010.299122946607
    65.000     78.000     0.018843     0.088650     0.042262   -3010.300783604451   -3010.299193729163
    65.000     79.000     0.017293     0.088966     0.042262   -3010.300866320700   -3010.299279837383
    65.000     80.000     0.015738     0.089254     0.042262   -3010.300953227417   -3010.299381221439
    65.000     81.000     0.014178     0.089515     0.042262   -3010.301044283865   -3010.299497813563
    65.000     82.000     0.012613     0.089749     0.042262   -3010.301139443646   -3010.299629527978
    65.000     83.000     0.011045     0.089955     0.042262   -3010.301238654806   -3010.299776260863
    65.000     84.000     0.009473     0.090134     0.042262   -3010.301341859836   -3010.299937890365
    65.000     85.000     0.007899     0.090286     0.042262   -3010.301448995917   -3010.300114276624
    65.000     86.000     0.006322     0.090410     0.042262   -3010.301559995025   -3010.300305261801
    65.000     87.000     0.004743     0.090507     0.042262   -3010.301674784144   -3010.300510670232
    65.000     88.000     0.003163     0.090576     0.042262   -3010.301793285547   -3010.300730308521
    65.000     89.000     0.001582     0.090617     0.042262   -3010.301915417043   -3010.300963965704
    66.000     69.000     0.032739     0.085287     0.040674   -3010.299745707333   -3010.298589698929
    66.000     70.000     0.031245     0.085845     0.040674   -3010.299785795126   -3010.298537095074
    66.000     71.000     0.029742     0.086377     0.040674   -3010.299830190160   -3010.298499778426
    66.000     72.000     0.028230     0.086883     0.040674   -3010.299878902344   -3010.298477838978
    66.000     73.000     0.026709     0.087363     0.040674   -3010.299931936482   -3010.298471349724
    66.000     74.000     0.025181     0.087816     0.040674   -3010.299989292163   -3010.298480366448
    66.000     75.000     0.023644     0.088242     0.040674   -3010.300050963630   -3010.298504927518
