     Theta        Phi           Ex           Ey           Ez               Para_E               Meta_E
    70.000     83.000     0.011452     0.093269     0.034202   -3010.298728573233   -3010.297477254589
    70.000     84.000     0.009822     0.093454     0.034202   -3010.298810953579   -3010.297645961940
    70.000     85.000     0.008190     0.093612     0.034202   -3010.298897339198   -3010.297830240684
    70.000     86.000     0.006555     0.093740     0.034202   -3010.298987670661   -3010.298029916026
    70.000     87.000     0.004918     0.093840     0.034202   -3010.299081883714   -3010.298244793778
    70.000     88.000     0.003279     0.093912     0.034202   -3010.299179909514   -3010.298474660547
    70.000     89.000     0.001640     0.093955     0.034202   -3010.299281674912   -3010.298719283911
    71.000     69.000     0.033884     0.088272     0.032557   -3010.297640107405   -3010.296429405267
    71.000     70.000     0.032339     0.088850     0.032557   -3010.297658689049   -3010.296371732545
    71.000     71.000     0.030783     0.089401     0.032557   -3010.297681527546   -3010.296330188723
    71.000     72.000     0.029218     0.089924     0.032557   -3010.297708639030   -3010.296304868623
    71.000     73.000     0.027644     0.090420     0.032557   -3010.297740034850   -3010.296295848572
    71.000     74.000     0.026062     0.090889     0.032557   -3010.297775721482   -3010.296303186184
    71.000     75.000     0.024472     0.091330     0.032557   -3010.297815700349   -3010.296326920078
    71.000     76.000     0.022874     0.091743     0.032557   -3010.297859967728   -3010.296367069747
    71.000     77.000     0.021270     0.092128     0.032557   -3010.297908514614   -3010.296423635329
    71.000     78.000     0.019658     0.092486     0.032557   -3010.297961326636   -3010.296496597470
    71.000     79.000     0.018041     0.092815     0.032557   -3010.298018383966   -3010.296585917176
    71.000     80.000     0.016419     0.093115     0.032557   -3010.298079661286   -3010.296691535686
    71.000     81.000     0.014791     0.093388     0.032557   -3010.298145127779   -3010.296813374403
    71.000     82.000     0.013159     0.093632     0.032557   -3010.298214747159   -3010.296951334805
    71.000     83.000     0.011523     0.093847     0.032557   -3010.298288477706   -3010.297105298456
    71.000     84.000     0.009883     0.094034     0.032557   -3010.298366272397   -3010.297275126979
    71.000     85.000     0.008241     0.094192     0.032557   -3010.298448079031   -3010.297460662134
    71.000     86.000     0.006596     0.094322     0.032557   -3010.298533840398   -3010.297661725860
    71.000     87.000     0.004948     0.094422     0.032557   -3010.298623494520   -3010.297878120466
    71.000     88.000     0.003300     0.094494     0.032557   -3010.298716974876   -3010.298109628755
    71.000     89.000     0.001650     0.094537     0.032557   -3010.298814210710   -3010.298356014252
    72.000     69.000     0.034083     0.088789     0.030902   -3010.297287093153   -3010.296087963566
    72.000     70.000     0.032528     0.089370     0.030902   -3010.297301114744   -3010.296029370908
    72.000     71.000     0.030963     0.089924     0.030902   -3010.297319371561   -3010.295987048115
    72.000     72.000     0.029389     0.090451     0.030902   -3010.297341881028   -3010.295961090721
    72.000     73.000     0.027806     0.090950     0.030902   -3010.297368655918   -3010.295951575485
    72.000     74.000     0.026215     0.091421     0.030902   -3010.297399704164   -3010.295958560160
    72.000     75.000     0.024615     0.091865     0.030902   -3010.297435028779   -3010.295982083266
    72.000     76.000     0.023008     0.092281     0.030902   -3010.297474627702   -3010.296022163868
    72.000     77.000     0.021394     0.092668     0.030902   -3010.297518493638   -3010.296078801442
    72.000     78.000     0.019774     0.093027     0.030902   -3010.297566614047   -3010.296151975655
    72.000     79.000     0.018147     0.093358     0.030902   -3010.297618970987   -3010.296241646251
    72.000     80.000     0.016515     0.093661     0.030902   -3010.297675541097   -3010.296347752958
    72.000     81.000     0.014878     0.093935     0.030902   -3010.297736295597   -3010.296470215354
    72.000     82.000     0.013236     0.094180     0.030902   -3010.297801200294   -3010.296608932837
    72.000     83.000     0.011590     0.094397     0.030902   -3010.297870215653   -3010.296763784586
    72.000     84.000     0.009941     0.094585     0.030902   -3010.297943296882   -3010.296934629584
    72.000     85.000     0.008289     0.094744     0.030902   -3010.298020394089   -3010.297121306661
    72.000     86.000     0.006634     0.094874     0.030902   -3010.298101452453   -3010.297323634576
    72.000     87.000     0.004977     0.094975     0.030902   -3010.298186412429   -3010.297541412200
    72.000     88.000     0.003319     0.095048     0.030902   -3010.298275210014   -3010.297774418616
    72.000     89.000     0.001660     0.095091     0.030902   -3010.298367777040   -3010.298022413408
    73.000     69.000     0.034271     0.089279     0.029237   -3010.296957746090   -3010.295777832675
    73.000     70.000     0.032708     0.089863     0.029237   -3010.296967132501   -3010.295718353216
    73.000     71.000     0.031134     0.090420     0.029237   -3010.296980728831   -3010.295675274851
    73.000     72.000     0.029551     0.090950     0.029237   -3010.296998553796   -3010.295648693748
    73.000     73.000     0.027960     0.091452     0.029237   -3010.297020621591   -3010.295638687018
    73.000     74.000     0.026359     0.091926     0.029237   -3010.297046941686   -3010.295645312493
    73.000     75.000     0.024751     0.092372     0.029237   -3010.297077518706   -3010.295668608514
    73.000     76.000     0.023135     0.092790     0.029237   -3010.297112352273   -3010.295708593705
    73.000     77.000     0.021512     0.093179     0.029237   -3010.297151436916   -3010.295765266799
    73.000     78.000     0.019883     0.093541     0.029237   -3010.297194761954   -3010.295838606476
    73.000     79.000     0.018247     0.093873     0.029237   -3010.297242311422   -3010.295928571225
    73.000     80.000     0.016606     0.094178     0.029237   -3010.297294064023   -3010.296035099227
    73.000     81.000     0.014960     0.094453     0.029237   -3010.297349993099   -3010.296158108260
    73.000     82.000     0.013309     0.094700     0.029237   -3010.297410066684   -3010.296297495649
    73.000     83.000     0.011654     0.094918     0.029237   -3010.297474247544   -3010.296453138244
    73.000     84.000     0.009996     0.095107     0.029237   -3010.297542493262   -3010.296624892401
    73.000     85.000     0.008335     0.095267     0.029237   -3010.297614756417   -3010.296812594115
    73.000     86.000     0.006671     0.095398     0.029237   -3010.297690984720   -3010.297016059022
    73.000     87.000     0.005005     0.095499     0.029237   -3010.297771121242   -3010.297235082603
    73.000     88.000     0.003337     0.095572     0.029237   -3010.297855104687   -3010.297469440358
    73.000     89.000     0.001669     0.095616     0.029237   -3010.297942869641   -3010.297718888046
    74.000     69.000     0.034449     0.089742     0.027564   -3010.296652423705   -3010.295499412524
    74.000     70.000     0.032877     0.090329     0.027564   -3010.296657104844   -3010.295439080063
    74.000     71.000     0.031296     0.090889     0.027564   -3010.296665966951   -3010.295395269978
    74.000     72.000     0.029705     0.091421     0.027564   -3010.296679030094   -3010.295368078956
    74.000     73.000     0.028105     0.091926     0.027564   -3010.296696309916   -3010.295357584392
    74.000     74.000     0.026496     0.092402     0.027564   -3010.296717817417   -3010.295363844145
    74.000     75.000     0.024879     0.092851     0.027564   -3010.296743558875   -3010.295386896295
    74.000     76.000     0.023255     0.093271     0.027564   -3010.296773535683   -3010.295426758974
    74.000     77.000     0.021624     0.093662     0.027564   -3010.296807744214   -3010.295483430160
    74.000     78.000     0.019986     0.094026     0.027564   -3010.296846175731   -3010.295556887512
    74.000     79.000     0.018342     0.094360     0.027564   -3010.296888816326   -3010.295647088244
    74.000     80.000     0.016692     0.094666     0.027564   -3010.296935646837   -3010.295753969006
    74.000     81.000     0.015037     0.094943     0.027564   -3010.296986642862   -3010.295877445781
    74.000     82.000     0.013378     0.095191     0.027564   -3010.297041774755   -3010.296017413842
    74.000     83.000     0.011715     0.095410     0.027564   -3010.297101007708   -3010.296173747732
    74.000     84.000     0.010048     0.095600     0.027564   -3010.297164301836   -3010.296346301284
    74.000     85.000     0.008378     0.095760     0.027564   -3010.297231612319   -3010.296534907663
    74.000     86.000     0.006705     0.095892     0.027564   -3010.297302889568   -3010.296739379477
    74.000     87.000     0.005031     0.095994     0.027564   -3010.297378079458   -3010.296959508942
    74.000     88.000     0.003355     0.096068     0.027564   -3010.297457123545   -3010.297195068052
    74.000     89.000     0.001678     0.096112     0.027564   -3010.297539959385   -3010.297445808826
    75.000     69.000     0.034616     0.090177     0.025882   -3010.296371454951   -3010.295253065225
    75.000     70.000     0.033037     0.090767     0.025882   -3010.296371365830   -3010.295191914202
    75.000     71.000     0.031447     0.091330     0.025882   -3010.296375425216   -3010.295147396642
    75.000     72.000     0.029849     0.091865     0.025882   -3010.296383654528   -3010.295119609678
    75.000     73.000     0.028241     0.092372     0.025882   -3010.296396070845   -3010.295108630904
    75.000     74.000     0.026625     0.092851     0.025882   -3010.296412686776   -3010.295114518116
    75.000     75.000     0.025000     0.093301     0.025882   -3010.296433510268   -3010.295137309117
    75.000     76.000     0.023368     0.093723     0.025882   -3010.296458544520   -3010.295177021484
    75.000     77.000     0.021729     0.094117     0.025882   -3010.296487787801   -3010.295233652402
    75.000     78.000     0.020083     0.094482     0.025882   -3010.296521233422   -3010.295307178493
    75.000     79.000     0.018431     0.094818     0.025882   -3010.296558869561   -3010.295397555695
    75.000     80.000     0.016773     0.095125     0.025882   -3010.296600679314   -3010.295504719111
    75.000     81.000     0.015110     0.095403     0.025882   -3010.296646640617   -3010.295628582953
    75.000     82.000     0.013443     0.095653     0.025882   -3010.296696726277   -3010.295769040487
    75.000     83.000     0.011772     0.095873     0.025882   -3010.296750904017   -3010.295925963998
    75.000     84.000     0.010097     0.096063     0.025882   -3010.296809136629   -3010.296099204803
    75.000     85.000     0.008419     0.096225     0.025882   -3010.296871382029   -3010.296288593359
    75.000     86.000     0.006738     0.096357     0.025882   -3010.296937593506   -3010.296493939319
    75.000     87.000     0.005055     0.096460     0.025882   -3010.297007719882   -3010.296715031714
    75.000     88.000     0.003371     0.096534     0.025882   -3010.297081705764   -3010.296951639150
    75.000     89.000     0.001686     0.096578     0.025882   -3010.297159491854   -3010.297203510061
