theta	phi	energy
23.47826086956522	313.04347826086956	-3007.830003193313132
164.34782608695653	15.652173913043478	-3007.822081203559719
133.04347826086956	313.04347826086956	-3007.791524304919221
156.52173913043478	140.8695652173913	-3007.828015244841936
78.26086956521739	156.52173913043478	-3007.801180372148792
23.47826086956522	281.7391304347826	-3007.835203203756464
117.3913043478261	360.0	-3007.807209213634906
93.91304347826087	187.82608695652175	-3007.804016768588554
125.21739130434783	281.7391304347826	-3007.779325049545605
39.130434782608695	187.82608695652175	-3007.816377273650232
62.608695652173914	172.17391304347825	-3007.804818850929223
7.826086956521739	281.7391304347826	-3007.826120203582832
39.130434782608695	78.26086956521739	-3007.782449609835112
15.652173913043478	0.0	-3007.817388358306744
140.8695652173913	172.17391304347825	-3007.814982076828983
54.78260869565217	250.43478260869566	-3007.830670427327732
23.47826086956522	360.0	-3007.815670523970311
31.304347826086957	31.304347826086957	-3007.800818984665966
15.652173913043478	328.69565217391306	-3007.824813677068960
125.21739130434783	313.04347826086956	-3007.791140371720303
180.0	203.47826086956522	-3007.819266318419523
0.0	172.17391304347825	-3007.819266318422251
7.826086956521739	266.0869565217391	-3007.826315752737173
31.304347826086957	313.04347826086956	-3007.830566528225063
7.826086956521739	62.608695652173914	-3007.811951445123213
93.91304347826087	203.47826086956522	-3007.803712598158654
62.608695652173914	46.95652173913044	-3007.789853665443388
7.826086956521739	172.17391304347825	-3007.818124287111914
78.26086956521739	203.47826086956522	-3007.808836240953497
86.08695652173913	360.0	-3007.804078716610547
15.652173913043478	344.3478260869565	-3007.821253092061852
140.8695652173913	281.7391304347826	-3007.783372153125129
54.78260869565217	172.17391304347825	-3007.806220777984890
101.73913043478261	187.82608695652175	-3007.803647464308142
156.52173913043478	0.0	-3007.816938073945494
70.43478260869566	78.26086956521739	-3007.783420969775307
140.8695652173913	125.21739130434783	-3007.831930566385381
156.52173913043478	172.17391304347825	-3007.818352626531578
133.04347826086956	109.56521739130434	-3007.833347759393746
180.0	172.17391304347825	-3007.819266318419977
86.08695652173913	297.39130434782606	-3007.804499281004155
54.78260869565217	140.8695652173913	-3007.794525041098495
54.78260869565217	313.04347826086956	-3007.823847249998380
101.73913043478261	328.69565217391306	-3007.800099483673876
148.69565217391303	187.82608695652175	-3007.810500380010581
54.78260869565217	297.39130434782606	-3007.827952614106380
133.04347826086956	219.1304347826087	-3007.792348766337000
93.91304347826087	109.56521739130434	-3007.803906400868982
93.91304347826087	266.0869565217391	-3007.795413608112995
