theta	phi	energy
62.608695652173914	172.17391304347825	-3007.835810549863254
70.43478260869566	156.52173913043478	-3007.823952257090696
164.34782608695653	250.43478260869566	-3007.803603405140166
0.0	46.95652173913044	-3007.813866912619687
93.91304347826087	313.04347826086956	-3007.801637169539390
109.56521739130434	219.1304347826087	-3007.772039376237444
133.04347826086956	78.26086956521739	-3007.811635415328510
78.26086956521739	46.95652173913044	-3007.781164035478469
78.26086956521739	140.8695652173913	-3007.811441309676411
15.652173913043478	125.21739130434783	-3007.825904995104338
54.78260869565217	219.1304347826087	-3007.832834888825346
172.17391304347825	313.04347826086956	-3007.821908567915671
101.73913043478261	219.1304347826087	-3007.778896727479150
70.43478260869566	31.304347826086957	-3007.769393456715079
101.73913043478261	0.0	-3007.811906980824915
117.3913043478261	266.0869565217391	-3007.796007792545879
70.43478260869566	344.3478260869565	-3007.768132318792595
54.78260869565217	234.7826086956522	-3007.824031526427916
54.78260869565217	328.69565217391306	-3007.764528421147588
93.91304347826087	219.1304347826087	-3007.787458596284068
7.826086956521739	0.0	-3007.800973278842775
23.47826086956522	234.7826086956522	-3007.829506120304359
7.826086956521739	219.1304347826087	-3007.823184728550132
109.56521739130434	0.0	-3007.824523249941194
93.91304347826087	172.17391304347825	-3007.786905486505475
156.52173913043478	46.95652173913044	-3007.833198613156583
39.130434782608695	156.52173913043478	-3007.848256690250764
93.91304347826087	203.47826086956522	-3007.785867901966867
86.08695652173913	62.608695652173914	-3007.791478660486973
78.26086956521739	234.7826086956522	-3007.804511799228294
140.8695652173913	266.0869565217391	-3007.801201103132826
101.73913043478261	109.56521739130434	-3007.792668477254665
54.78260869565217	0.0	-3007.756243832719974
109.56521739130434	172.17391304347825	-3007.766621946310806
62.608695652173914	297.39130434782606	-3007.783670366108254
172.17391304347825	250.43478260869566	-3007.809044168293894
7.826086956521739	172.17391304347825	-3007.825891620665061
93.91304347826087	234.7826086956522	-3007.789982545472867
180.0	62.608695652173914	-3007.813866912619233
15.652173913043478	297.39130434782606	-3007.801274890568038
86.08695652173913	46.95652173913044	-3007.788637547996586
133.04347826086956	250.43478260869566	-3007.786306304203663
70.43478260869566	297.39130434782606	-3007.786403285057531
133.04347826086956	297.39130434782606	-3007.824071083905892
156.52173913043478	78.26086956521739	-3007.816858955866337
164.34782608695653	328.69565217391306	-3007.832908337004028
0.0	109.56521739130434	-3007.813866912620142
180.0	172.17391304347825	-3007.813866912617868
7.826086956521739	360.0	-3007.800973278841866
117.3913043478261	125.21739130434783	-3007.779263789032029
156.52173913043478	313.04347826086956	-3007.833417078319144
15.652173913043478	78.26086956521739	-3007.806753970736736
180.0	234.7826086956522	-3007.813866912619687
148.69565217391303	360.0	-3007.850112288110722
125.21739130434783	234.7826086956522	-3007.774188616434003
117.3913043478261	46.95652173913044	-3007.822255639356172
180.0	15.652173913043478	-3007.813866912618323
109.56521739130434	266.0869565217391	-3007.795614363502864
31.304347826086957	344.3478260869565	-3007.768950016967665
133.04347826086956	125.21739130434783	-3007.777849422625422
172.17391304347825	203.47826086956522	-3007.801915300446126
54.78260869565217	360.0	-3007.756243832719974
7.826086956521739	297.39130434782606	-3007.807767307552240
180.0	31.304347826086957	-3007.813866912619687
7.826086956521739	125.21739130434783	-3007.820550891051425
39.130434782608695	109.56521739130434	-3007.819977715751520
117.3913043478261	156.52173913043478	-3007.764313075619157
101.73913043478261	203.47826086956522	-3007.775625207229950
117.3913043478261	203.47826086956522	-3007.761732990610199
31.304347826086957	219.1304347826087	-3007.839613235425077
78.26086956521739	78.26086956521739	-3007.792668972126648
109.56521739130434	31.304347826086957	-3007.819165365875051
86.08695652173913	140.8695652173913	-3007.801566521379755
62.608695652173914	219.1304347826087	-3007.825741483089587
62.608695652173914	250.43478260869566	-3007.810285192338597
133.04347826086956	62.608695652173914	-3007.822851311642808
0.0	344.3478260869565	-3007.813866912622416
148.69565217391303	187.82608695652175	-3007.767279809702814
86.08695652173913	360.0	-3007.786178165362344
39.130434782608695	78.26086956521739	-3007.795009142184881
125.21739130434783	156.52173913043478	-3007.761276851837010
172.17391304347825	172.17391304347825	-3007.801113821680701
140.8695652173913	78.26086956521739	-3007.813977941637404
93.91304347826087	156.52173913043478	-3007.789110768515457
