     Theta        Phi           Ex           Ey           Ez              Ortho_E               Meta_E
    74.000     41.000     0.072547     0.063064     0.027564   -3010.314353890039   -3010.302969552147
    74.000     42.000     0.071436     0.064321     0.027564   -3010.313838642336   -3010.302552250962
    74.000     43.000     0.070302     0.065558     0.027564   -3010.313315958349   -3010.302142581518
    74.000     44.000     0.069147     0.066775     0.027564   -3010.312786485493   -3010.301741000187
    74.000     45.000     0.067971     0.067971     0.027564   -3010.312250878129   -3010.301347957907
    74.000     46.000     0.066775     0.069147     0.027564   -3010.311709796652   -3010.300963899699
    75.000     26.000     0.086817     0.042343     0.025882   -3010.320563667765   -3010.309677559913
    75.000     27.000     0.086065     0.043852     0.025882   -3010.320231563311   -3010.309200436532
    75.000     28.000     0.085286     0.045347     0.025882   -3010.319883621177   -3010.308723657501
    75.000     29.000     0.084482     0.046829     0.025882   -3010.319520270919   -3010.308247721661
    75.000     30.000     0.083652     0.048296     0.025882   -3010.319141963460   -3010.307773127306
    75.000     31.000     0.082796     0.049749     0.025882   -3010.318749170253   -3010.307300371937
    75.000     32.000     0.081915     0.051186     0.025882   -3010.318342382392   -3010.306829952011
    75.000     33.000     0.081009     0.052608     0.025882   -3010.317922109729   -3010.306362362721
    75.000     34.000     0.080079     0.054014     0.025882   -3010.317488879960   -3010.305898097720
    75.000     35.000     0.079124     0.055403     0.025882   -3010.317043237621   -3010.305437648873
    75.000     36.000     0.078145     0.056776     0.025882   -3010.316585743191   -3010.304981505991
    75.000     37.000     0.077142     0.058131     0.025882   -3010.316116972056   -3010.304530156531
    75.000     38.000     0.076116     0.059468     0.025882   -3010.315637513558   -3010.304084085295
    75.000     39.000     0.075067     0.060788     0.025882   -3010.315147970007   -3010.303643774123
    75.000     40.000     0.073994     0.062089     0.025882   -3010.314648955666   -3010.303209701509
    75.000     41.000     0.072899     0.063370     0.025882   -3010.314141095809   -3010.302782342262
    75.000     42.000     0.071782     0.064633     0.025882   -3010.313625025711   -3010.302362167082
    75.000     43.000     0.070643     0.065876     0.025882   -3010.313101389709   -3010.301949642155
    75.000     44.000     0.069483     0.067099     0.025882   -3010.312570840258   -3010.301545228679
    75.000     45.000     0.068301     0.068301     0.025882   -3010.312034036959   -3010.301149382419
    75.000     46.000     0.067099     0.069483     0.025882   -3010.311491645680   -3010.300762553159
    76.000     26.000     0.087210     0.042535     0.024192   -3010.320356092148   -3010.309555934800
    76.000     27.000     0.086454     0.044051     0.024192   -3010.320025794087   -3010.309076548604
    76.000     28.000     0.085672     0.045553     0.024192   -3010.319679495578   -3010.308597449907
    76.000     29.000     0.084864     0.047041     0.024192   -3010.319317626745   -3010.308119142365
    76.000     30.000     0.084030     0.048515     0.024192   -3010.318940639379   -3010.307642129056
    76.000     31.000     0.083171     0.049974     0.024192   -3010.318549006025   -3010.307166912255
    76.000     32.000     0.082286     0.051418     0.024192   -3010.318143219179   -3010.306693993162
    76.000     33.000     0.081376     0.052846     0.024192   -3010.317723790354   -3010.306223871713
    76.000     34.000     0.080441     0.054258     0.024192   -3010.317291249190   -3010.305757046264
    76.000     35.000     0.079482     0.055654     0.024192   -3010.316846142450   -3010.305294013396
    76.000     36.000     0.078499     0.057033     0.024192   -3010.316389033134   -3010.304835267597
    76.000     37.000     0.077491     0.058394     0.024192   -3010.315920499376   -3010.304381301016
    76.000     38.000     0.076460     0.059737     0.024192   -3010.315441133593   -3010.303932603142
    76.000     39.000     0.075406     0.061063     0.024192   -3010.314951541397   -3010.303489660457
    76.000     40.000     0.074329     0.062369     0.024192   -3010.314452340647   -3010.303052956129
    76.000     41.000     0.073229     0.063657     0.024192   -3010.313944160431   -3010.302622969603
    76.000     42.000     0.072107     0.064925     0.024192   -3010.313427640117   -3010.302200176218
    76.000     43.000     0.070963     0.066174     0.024192   -3010.312903428363   -3010.301785046756
    76.000     44.000     0.069797     0.067402     0.024192   -3010.312372182146   -3010.301378047023
    76.000     45.000     0.068610     0.068610     0.024192   -3010.311834565849   -3010.300979637323
    76.000     46.000     0.067402     0.069797     0.024192   -3010.311291250312   -3010.300590271990
    77.000     26.000     0.087576     0.042714     0.022495   -3010.320159803618   -3010.309458042967
    77.000     27.000     0.086817     0.044235     0.022495   -3010.319831563027   -3010.308976695652
    77.000     28.000     0.086032     0.045744     0.022495   -3010.319487170460   -3010.308495578068
    77.000     29.000     0.085220     0.047238     0.022495   -3010.319127056257   -3010.308015198398
    77.000     30.000     0.084383     0.048719     0.022495   -3010.318751672618   -3010.307536064261
    77.000     31.000     0.083520     0.050184     0.022495   -3010.318361492810   -3010.307058682422
    77.000     32.000     0.082631     0.051634     0.022495   -3010.317957010271   -3010.306583558587
    77.000     33.000     0.081718     0.053068     0.022495   -3010.317538737756   -3010.306111197141
    77.000     34.000     0.080779     0.054486     0.022495   -3010.317107206352   -3010.305642100915
    77.000     35.000     0.079816     0.055888     0.022495   -3010.316662964611   -3010.305176770908
    77.000     36.000     0.078828     0.057272     0.022495   -3010.316206577530   -3010.304715706049
    77.000     37.000     0.077817     0.058639     0.022495   -3010.315738625573   -3010.304259402921
    77.000     38.000     0.076781     0.059988     0.022495   -3010.315259703695   -3010.303808355391
    77.000     39.000     0.075723     0.061319     0.022495   -3010.314770420349   -3010.303363054382
    77.000     40.000     0.074641     0.062631     0.022495   -3010.314271396459   -3010.302923987434
    77.000     41.000     0.073537     0.063924     0.022495   -3010.313763264472   -3010.302491638379
    77.000     42.000     0.072410     0.065198     0.022495   -3010.313246667316   -3010.302066486924
    77.000     43.000     0.071261     0.066452     0.022495   -3010.312722257481   -3010.301649008207
    77.000     44.000     0.070090     0.067685     0.022495   -3010.312190696004   -3010.301239672354
    77.000     45.000     0.068898     0.068898     0.022495   -3010.311652651535   -3010.300838943971
    77.000     46.000     0.067685     0.070090     0.022495   -3010.311108799386   -3010.300447281653
    78.000     26.000     0.087915     0.042879     0.020791   -3010.319974987748   -3010.309383994216
    78.000     27.000     0.087154     0.044407     0.020791   -3010.319649052391   -3010.308900991410
    78.000     28.000     0.086365     0.045921     0.020791   -3010.319306825029   -3010.308418159668
    78.000     29.000     0.085551     0.047422     0.020791   -3010.318948735827   -3010.307936011470
    78.000     30.000     0.084710     0.048907     0.020791   -3010.318575237048   -3010.307455058665
    78.000     31.000     0.083844     0.050378     0.020791   -3010.318186802223   -3010.306975812282
    78.000     32.000     0.082952     0.051834     0.020791   -3010.317783925307   -3010.306498782237
    78.000     33.000     0.082034     0.053274     0.020791   -3010.317367119833   -3010.306024477099
    78.000     34.000     0.081092     0.054697     0.020791   -3010.316936917914   -3010.305553403887
    78.000     35.000     0.080125     0.056104     0.020791   -3010.316493869384   -3010.305086067788
    78.000     36.000     0.079134     0.057494     0.020791   -3010.316038540790   -3010.304622971888
    78.000     37.000     0.078118     0.058866     0.020791   -3010.315571514406   -3010.304164616904
    78.000     38.000     0.077079     0.060221     0.020791   -3010.315093387263   -3010.303711500871
    78.000     39.000     0.076016     0.061557     0.020791   -3010.314604770125   -3010.303264118830
    78.000     40.000     0.074930     0.062874     0.020791   -3010.314106286523   -3010.302822962462
