job_id,isomer,sample_index,theta_deg,phi_deg,lambda_mag,lambda_x,lambda_y,lambda_z,omega,charge,multiplicity,functional,basis,energy_hartree,status,log_file,psi4_output_file
para_dirA_r019_th130_ph39,para,019,130,39,0.1,0.05953283452664681,0.04820873885051902,-0.06427876096865394,0.06615,1,1,wb97x,6-311G*,-3010.3217919194826209,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r019_th130_ph39.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r019_th130_ph39.dat
para_dirA_r023_th119_ph26,para,023,119,26,0.1,0.07861029855528101,0.038340804402302406,-0.0484809620246337,0.06615,1,1,wb97x,6-311G*,-3010.3158689760416564,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r023_th119_ph26.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r023_th119_ph26.dat
para_dirA_r022_th116_ph41,para,022,116,41,0.1,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.06615,1,1,wb97x,6-311G*,-3010.3112625916764955,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r022_th116_ph41.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r022_th116_ph41.dat
para_dirA_r024_th124_ph9,para,024,124,9,0.1,0.08188307443279104,0.012969004916089958,-0.055919290347074685,0.06615,1,1,wb97x,6-311G*,-3010.3211240891978377,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r024_th124_ph9.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r024_th124_ph9.dat
meta_dirA_r001_th101_ph31,meta,001,101,31,0.1,0.08414187231316514,0.050557537484226346,-0.019080899537654482,0.06615,1,1,wb97x,6-311G*,-3010.3119268147465846,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r001_th101_ph31.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r001_th101_ph31.dat
para_dirA_r025_th105_ph32,para,025,105,32,0.1,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.06615,1,1,wb97x,6-311G*,-3010.3058789753977180,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/para_dirA_r025_th105_ph32.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/para_dirA_r025_th105_ph32.dat
meta_dirA_r002_th130_ph0,meta,002,130,0,0.1,0.0766044443118978,0.0,-0.06427876096865394,0.06615,1,1,wb97x,6-311G*,-3010.3355107528068402,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r002_th130_ph0.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r002_th130_ph0.dat
meta_dirA_r003_th113_ph36,meta,003,113,36,0.1,0.07447040698476448,0.05410591775229887,-0.03907311284892739,0.06615,1,1,wb97x,6-311G*,-3010.3171534991092813,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r003_th113_ph36.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r003_th113_ph36.dat
meta_dirA_r005_th136_ph36,meta,005,136,36,0.1,0.05619904269861367,0.04083099455373199,-0.07193398003386513,0.06615,1,1,wb97x,6-311G*,-3010.3348372011287211,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r005_th136_ph36.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r005_th136_ph36.dat
meta_dirA_r004_th125_ph29,meta,004,125,29,0.1,0.07164465210786754,0.03971327915157569,-0.05735764363510463,0.06615,1,1,wb97x,6-311G*,-3010.3280379371467461,ok,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/logs/meta_dirA_r004_th125_ph29.log,/Users/jfoley19/Code/nbr_data/Molecular_Dynamics_Data/Direction_A_MD_Sampled_Orientations/UNRELAXED_Sampled_Orientations/direction_A_unrelaxed_results/psi4_outputs/meta_dirA_r004_th125_ph29.dat
