theta,phi,Ex,Ey,Ez,lambda_magnitude,xyz_file_name
116.0,41.0,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.1,ortho_dirA22_r001_th116_ph41.xyz
119.0,26.0,0.07861029855528101,0.0383408044023024,-0.0484809620246337,0.1,ortho_dirA23_r001_th119_ph26.xyz
124.0,9.0,0.08188307443279104,0.012969004916089958,-0.055919290347074685,0.1,ortho_dirA24_r001_th124_ph9.xyz
105.0,32.0,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.1,ortho_dirA25_r001_th105_ph32.xyz
130.0,0.0,0.0766044443118978,0.0,-0.06427876096865394,0.1,ortho_dirA2_r001_th130_ph0.xyz
113.0,36.0,0.07447040698476448,0.05410591775229887,-0.03907311284892739,0.1,ortho_dirA3_r001_th113_ph36.xyz
125.0,29.0,0.07164465210786754,0.03971327915157569,-0.05735764363510463,0.1,ortho_dirA4_r001_th125_ph29.xyz
136.0,36.0,0.05619904269861367,0.04083099455373199,-0.07193398003386513,0.1,ortho_dirA5_r001_th136_ph36.xyz
144.0,17.0,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.1,ortho_dirA6_r001_th144_ph17.xyz
125.0,50.0,0.05265407845183632,0.06275068715971331,-0.05735764363510462,0.1,ortho_dirA7_r001_th125_ph50.xyz
154.0,0.0,0.04383711467890773,0.0,-0.08987940462991671,0.1,ortho_dirA8_r001_th154_ph0.xyz
138.0,55.0,0.03837975486487287,0.05481197040951916,-0.07431448254773941,0.1,ortho_dirA9_r001_th138_ph55.xyz
124.0,69.0,0.029710049497256353,0.07739732505681407,-0.05591929034707467,0.1,para_dirA10_r001_th124_ph69.xyz
158.0,44.0,0.026946943211334465,0.026022360574549375,-0.09271838545667874,0.1,para_dirA11_r001_th158_ph44.xyz
149.0,65.0,0.021766449594876336,0.046678301791134774,-0.08571673007021123,0.1,para_dirA12_r001_th149_ph65.xyz
139.0,83.0,0.007995348309809176,0.06511688644740705,-0.07547095802227721,0.1,para_dirA13_r001_th139_ph83.xyz
157.0,73.0,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.1,para_dirA14_r001_th157_ph73.xyz
134.0,71.0,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.1,para_dirA15_r001_th134_ph71.xyz
159.0,40.0,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.1,para_dirA16_r001_th159_ph40.xyz
146.0,42.0,0.04155613126579656,0.03741730865709514,-0.08290375725550417,0.1,para_dirA17_r001_th146_ph42.xyz
153.0,13.0,0.04423547526431036,0.010212564157850924,-0.08910065241883679,0.1,para_dirA18_r001_th153_ph13.xyz
101.0,31.0,0.08414187231316514,0.050557537484226346,-0.019080899537654482,0.1,para_dirA1_r001_th101_ph31.xyz
135.0,21.0,0.06601410503592008,0.025340440728340043,-0.07071067811865477,0.1,para_dirA21_r001_th135_ph21.xyz
116.0,41.0,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.1,para_dirA22_r001_th116_ph41.xyz
105.0,32.0,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.1,para_dirA25_r001_th105_ph32.xyz
130.0,0.0,0.0766044443118978,0.0,-0.06427876096865394,0.1,para_dirA2_r001_th130_ph0.xyz
113.0,36.0,0.07447040698476448,0.05410591775229887,-0.03907311284892739,0.1,para_dirA3_r001_th113_ph36.xyz
125.0,29.0,0.07164465210786754,0.03971327915157569,-0.05735764363510463,0.1,para_dirA4_r001_th125_ph29.xyz
136.0,36.0,0.05619904269861368,0.040830994553732,-0.07193398003386513,0.1,para_dirA5_r001_th136_ph36.xyz
144.0,17.0,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.1,para_dirA6_r001_th144_ph17.xyz
125.0,50.0,0.05265407845183633,0.06275068715971331,-0.05735764363510463,0.1,para_dirA7_r001_th125_ph50.xyz
154.0,0.0,0.04383711467890773,0.0,-0.08987940462991671,0.1,para_dirA8_r001_th154_ph0.xyz
138.0,55.0,0.03837975486487287,0.05481197040951916,-0.07431448254773941,0.1,para_dirA9_r001_th138_ph55.xyz
