isomer,id,direction_label,theta,phi,Ex,Ey,Ez,lambda_magnitude,has_optimized_xyz,converged,promoted,resumed_from_stall,attempts,final_gnorm,conv_threshold,final_energy_hartree,frequency_complete,zpe_hartree,zpe_ev,zpe_corrected_energy_hartree,n_real_modes,n_imaginary,imaginary_freqs_cm,lowest_freq_cm,xyz_file_name
ortho,ortho_dirA22_r001_th116_ph41,ortho_dirA22_r001_th116_ph41,116.0,41.0,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.1,True,True,,,2,0.0006145702914599184,0.00095,-3010.3328740004986,True,0.10756898594435502,2.9271012007815784,-3010.225305014554,39,0,,58.09158595612641,ortho_dirA22_r001_th116_ph41.xyz
ortho,ortho_dirA23_r001_th119_ph26,ortho_dirA23_r001_th119_ph26,119.0,26.0,0.07861029855528101,0.0383408044023024,-0.0484809620246337,0.1,True,True,,,1,9.890240616128198e-05,0.00095,-3010.3342227258927,True,0.1076669071946903,2.9297657737244407,-3010.226555818698,39,0,,69.56093173836922,ortho_dirA23_r001_th119_ph26.xyz
ortho,ortho_dirA24_r001_th124_ph9,ortho_dirA24_r001_th124_ph9,124.0,9.0,0.08188307443279104,0.012969004916089958,-0.055919290347074685,0.1,True,True,,,1,0.0008804893401647289,0.00095,-3010.3336942734086,True,0.1076561731693602,2.929473686017588,-3010.2260381002393,39,0,,67.83255765755209,ortho_dirA24_r001_th124_ph9.xyz
ortho,ortho_dirA25_r001_th105_ph32,ortho_dirA25_r001_th105_ph32,105.0,32.0,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.1,True,True,,,1,0.0008698948206668706,0.00095,-3010.329300564113,True,0.10773907396524156,2.931729531576043,-3010.221561490148,39,0,,54.09825820829092,ortho_dirA25_r001_th105_ph32.xyz
ortho,ortho_dirA2_r001_th130_ph0,ortho_dirA2_r001_th130_ph0,130.0,0.0,0.0766044443118978,0.0,-0.06427876096865394,0.1,True,True,True,,6,0.0006844422105210681,0.0005,-3010.3339558188345,True,0.1076062672498322,2.9281156767764105,-3010.2263495515845,39,0,,69.63861359628329,ortho_dirA2_r001_th130_ph0.xyz
ortho,ortho_dirA3_r001_th113_ph36,ortho_dirA3_r001_th113_ph36,113.0,36.0,0.07447040698476448,0.05410591775229887,-0.03907311284892739,0.1,True,True,,,2,0.00021178032453994975,0.0005,-3010.3319152984673,True,0.10765065367401869,2.9293234928991905,-3010.224264644793,39,0,,62.3245689676218,ortho_dirA3_r001_th113_ph36.xyz
ortho,ortho_dirA4_r001_th125_ph29,ortho_dirA4_r001_th125_ph29,125.0,29.0,0.07164465210786754,0.03971327915157569,-0.05735764363510463,0.1,True,True,,,2,7.45568056436499e-05,0.0005,-3010.33666191202,True,0.10758212749209642,2.9274588005101276,-3010.229079784528,39,0,,68.50598087576164,ortho_dirA4_r001_th125_ph29.xyz
ortho,ortho_dirA5_r001_th136_ph36,ortho_dirA5_r001_th136_ph36,136.0,36.0,0.05619904269861367,0.04083099455373199,-0.07193398003386513,0.1,True,True,True,,6,0.0009493308112099918,0.0005,-3010.3416647787085,True,0.10736704175118368,2.921606019385814,-3010.234297736957,39,0,,62.01341227992849,ortho_dirA5_r001_th136_ph36.xyz
ortho,ortho_dirA6_r001_th144_ph17,ortho_dirA6_r001_th144_ph17,144.0,17.0,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.1,True,True,True,,6,0.000586200527410955,0.0005,-3010.3427359773204,True,0.10738097852936765,2.921985258436914,-3010.235354998791,39,0,,71.7329322516731,ortho_dirA6_r001_th144_ph17.xyz
ortho,ortho_dirA7_r001_th125_ph50,ortho_dirA7_r001_th125_ph50,125.0,50.0,0.05265407845183632,0.06275068715971331,-0.05735764363510462,0.1,True,True,,,3,0.00011508731992794369,0.0005,-3010.3366978571757,True,0.10740027541503312,2.922510353441825,-3010.229297581761,39,0,,52.88848030600874,ortho_dirA7_r001_th125_ph50.xyz
ortho,ortho_dirA8_r001_th154_ph0,ortho_dirA8_r001_th154_ph0,154.0,0.0,0.04383711467890773,0.0,-0.08987940462991671,0.1,True,True,,,1,9.975738780075729e-05,0.0005,-3010.344384935905,True,0.10733785805069418,2.9208118904461746,-3010.237047077854,39,0,,78.62588124976946,ortho_dirA8_r001_th154_ph0.xyz
ortho,ortho_dirA9_r001_th138_ph55,ortho_dirA9_r001_th138_ph55,138.0,55.0,0.03837975486487287,0.05481197040951916,-0.07431448254773941,0.1,True,True,True,,6,0.0011379648462476973,0.0005,-3010.3430353357357,True,0.10713076784313996,2.9151766788665503,-3010.2359045678927,39,0,,45.77727314216649,ortho_dirA9_r001_th138_ph55.xyz
para,para_dirA10_r001_th124_ph69,para_dirA10_r001_th124_ph69,124.0,69.0,0.029710049497256353,0.07739732505681407,-0.05591929034707467,0.1,True,True,True,,6,0.0007007523882227016,0.0005,-3010.340663218006,True,0.10699098534464367,2.9113730033405174,-3010.2336722326613,39,0,,33.991077763576605,para_dirA10_r001_th124_ph69.xyz
para,para_dirA11_r001_th158_ph44,para_dirA11_r001_th158_ph44,158.0,44.0,0.026946943211334465,0.026022360574549375,-0.09271838545667874,0.1,True,True,True,,6,0.0009105123882697211,0.0005,-3010.355996062097,True,0.10610216807033712,2.887187053384236,-3010.2498938940266,39,0,,59.8607119708567,para_dirA11_r001_th158_ph44.xyz
para,para_dirA12_r001_th149_ph65,para_dirA12_r001_th149_ph65,149.0,65.0,0.021766449594876336,0.046678301791134774,-0.08571673007021123,0.1,True,True,True,True,6,0.0012588198264021798,0.001,-3010.3519203351098,True,0.10642020187694393,2.8958411940646127,-3010.245500133233,39,0,,43.10505735195533,para_dirA12_r001_th149_ph65.xyz
para,para_dirA13_r001_th139_ph83,para_dirA13_r001_th139_ph83,139.0,83.0,0.007995348309809176,0.06511688644740705,-0.07547095802227721,0.1,True,True,,,4,0.0002668128050702941,0.001,-3010.3464831984325,True,0.10662308359908888,2.9013618869231874,-3010.2398601148334,39,0,,36.149944077057114,para_dirA13_r001_th139_ph83.xyz
para,para_dirA14_r001_th157_ph73,para_dirA14_r001_th157_ph73,157.0,73.0,0.011423872612464768,0.03736580364770964,-0.09205048534524404,0.1,True,True,True,True,6,0.0009163204604321815,0.0009,-3010.354092431353,True,0.10628105924742912,2.8920549302604397,-3010.2478113721054,39,0,,48.141799223291564,para_dirA14_r001_th157_ph73.xyz
para,para_dirA15_r001_th134_ph71,para_dirA15_r001_th134_ph71,134.0,71.0,0.023419413122383426,0.06801491433880984,-0.06946583704589974,0.1,True,True,True,True,6,0.0010366672420294367,0.00095,-3010.3451019533222,True,0.10685827533180665,2.9077617799519104,-3010.2382436779903,39,0,,33.45354444186427,para_dirA15_r001_th134_ph71.xyz
para,para_dirA16_r001_th159_ph40,para_dirA16_r001_th159_ph40,159.0,40.0,0.02745257763411196,0.023035447767648987,-0.0933580426497202,0.1,True,True,True,,6,0.0009333150523631908,0.0005,-3010.3563890453534,True,0.10608021477671196,2.8865896738368955,-3010.2503088305766,39,0,,61.03979031381533,para_dirA16_r001_th159_ph40.xyz
para,para_dirA17_r001_th146_ph42,para_dirA17_r001_th146_ph42,146.0,42.0,0.04155613126579656,0.03741730865709514,-0.08290375725550417,0.1,True,True,True,True,6,0.0014163885358693224,0.00095,-3010.3509643289963,True,0.10627006450094488,2.891755747969617,-3010.244694264495,39,0,,53.11094996993517,para_dirA17_r001_th146_ph42.xyz
para,para_dirA18_r001_th153_ph13,para_dirA18_r001_th153_ph13,153.0,13.0,0.04423547526431036,0.010212564157850924,-0.08910065241883679,0.1,True,True,,,4,0.00036796294306840207,0.0005,-3010.3542553947154,True,0.10606307754479732,2.886123346003877,-3010.248192317171,39,0,,65.03857094716773,para_dirA18_r001_th153_ph13.xyz
para,para_dirA19_r001_th130_ph39,para_dirA19_r001_th130_ph39,130.0,39.0,0.05953283452664681,0.04820873885051902,-0.06427876096865394,0.1,False,False,,True,6,0.0017398662575038996,0.0015,-3010.3407381224865,,,,,,,,,
para,para_dirA1_r001_th101_ph31,para_dirA1_r001_th101_ph31,101.0,31.0,0.08414187231316514,0.050557537484226346,-0.019080899537654482,0.1,True,True,,,3,0.0004342128849687942,0.0005,-3010.320308314046,True,0.10717677932525209,2.9164287150678567,-3010.213131534721,39,0,,13.767346983310253,para_dirA1_r001_th101_ph31.xyz
para,para_dirA20_r001_th139_ph1,para_dirA20_r001_th139_ph1,139.0,1.0,0.06559591080226988,0.00114498088207919,-0.07547095802227721,0.1,False,False,,True,6,0.0017868204697462809,0.0015,-3010.3457828788046,,,,,,,,,
para,para_dirA21_r001_th135_ph21,para_dirA21_r001_th135_ph21,135.0,21.0,0.06601410503592008,0.025340440728340043,-0.07071067811865477,0.1,True,True,True,True,6,0.0014992306569499238,0.00095,-3010.3430065538378,True,0.10643712703656125,2.8963017511164835,-3010.236569426801,39,0,,45.661656612631056,para_dirA21_r001_th135_ph21.xyz
para,para_dirA22_r001_th116_ph41,para_dirA22_r001_th116_ph41,116.0,41.0,0.06783284773891711,0.05896619492774805,-0.04383711467890775,0.1,True,True,True,,6,0.0009452498001519624,0.0005,-3010.3312276449337,True,0.10684985079981789,2.9075325367598897,-3010.224377794134,39,0,,17.42440642350822,para_dirA22_r001_th116_ph41.xyz
para,para_dirA23_r001_th119_ph26,para_dirA23_r001_th119_ph26,119.0,26.0,0.07861029855528101,0.038340804402302406,-0.0484809620246337,0.1,False,False,,True,6,0.0015198676093528631,0.0015,-3010.3309537940654,,,,,,,,,
para,para_dirA24_r001_th124_ph9,para_dirA24_r001_th124_ph9,124.0,9.0,0.08188307443279104,0.012969004916089958,-0.055919290347074685,0.1,False,False,,True,6,0.0019648926519193915,0.0015,-3010.3340177475134,,,,,,,,,
para,para_dirA25_r001_th105_ph32,para_dirA25_r001_th105_ph32,105.0,32.0,0.0819151558012767,0.05118627031709536,-0.025881904510252088,0.1,True,True,True,,6,0.0007908460089367411,0.0005,-3010.322413931199,True,0.10699171220025651,2.911392782089182,-3010.215422218999,38,1,-14.016120570934829,-14.016120570934829,para_dirA25_r001_th105_ph32.xyz
para,para_dirA2_r001_th130_ph0,para_dirA2_r001_th130_ph0,130.0,0.0,0.0766044443118978,0.0,-0.06427876096865394,0.1,True,True,True,True,6,0.0021623868950677388,0.002,-3010.338740508493,True,0.10677138544384487,2.9053973856689685,-3010.231969123049,39,0,,18.92639094564731,para_dirA2_r001_th130_ph0.xyz
para,para_dirA3_r001_th113_ph36,para_dirA3_r001_th113_ph36,113.0,36.0,0.07447040698476448,0.05410591775229887,-0.03907311284892739,0.1,True,True,True,True,6,0.0012557171727167022,0.001,-3010.3282413929956,True,0.10685115072662102,2.907567909569933,-3010.221390242269,39,0,,15.955774675314116,para_dirA3_r001_th113_ph36.xyz
para,para_dirA4_r001_th125_ph29,para_dirA4_r001_th125_ph29,125.0,29.0,0.07164465210786754,0.03971327915157569,-0.05735764363510463,0.1,True,True,True,True,6,0.001291278684448383,0.001,-3010.3358959691113,True,0.10664380692370011,2.9019257973088917,-3010.2292521621875,39,0,,32.88211849537924,para_dirA4_r001_th125_ph29.xyz
para,para_dirA5_r001_th136_ph36,para_dirA5_r001_th136_ph36,136.0,36.0,0.05619904269861368,0.040830994553732,-0.07193398003386513,0.1,True,True,True,True,6,0.0019587445078531806,0.001,-3010.34459822802,True,0.10644676345787213,2.8965639714966676,-3010.238151464562,39,0,,45.7006822752016,para_dirA5_r001_th136_ph36.xyz
para,para_dirA6_r001_th144_ph17,para_dirA6_r001_th144_ph17,144.0,17.0,0.05621018322522249,0.01718517762236343,-0.08090169943749474,0.1,True,True,True,True,6,0.001180895246554138,0.001,-3010.349257606787,True,0.10625053955432173,2.8912244471099493,-3010.2430070672326,39,0,,56.67812817812764,para_dirA6_r001_th144_ph17.xyz
para,para_dirA7_r001_th125_ph50,para_dirA7_r001_th125_ph50,125.0,50.0,0.05265407845183633,0.06275068715971331,-0.05735764363510463,0.1,True,True,True,True,6,0.0013335565254053035,0.001,-3010.338768743558,True,0.10683821255802317,2.9072158440697686,-3010.2319305309998,39,0,,26.02573439247911,para_dirA7_r001_th125_ph50.xyz
para,para_dirA8_r001_th154_ph0,para_dirA8_r001_th154_ph0,154.0,0.0,0.04383711467890773,0.0,-0.08987940462991671,0.1,True,True,True,,6,0.0006674638815628324,0.0005,-3010.354845105814,True,0.10608370720696542,2.8866847077046853,-3010.2487613986073,39,0,,63.47502582668239,para_dirA8_r001_th154_ph0.xyz
para,para_dirA9_r001_th138_ph55,para_dirA9_r001_th138_ph55,138.0,55.0,0.03837975486487287,0.05481197040951916,-0.07431448254773941,0.1,True,True,True,True,6,0.0015134899635966235,0.001,-3010.3468956524,True,0.10664726028897863,2.9020197681645685,-3010.240248392111,39,0,,34.070342145995184,para_dirA9_r001_th138_ph55.xyz
