     theta        phi           Ex           Ey           Ez               Para_E              Ortho_E               Meta_E
         27.0        18.0    0.4317706    0.1402908    0.8910065    -3006.08432461492612    -3006.10301632271148    -3006.10604312934311
         27.0        36.0    0.3672860    0.2668489    0.8910065    -3006.08481568655952    -3006.10046202115154    -3006.10357907336993
         27.0        54.0    0.2668489    0.3672860    0.8910065    -3006.08572437904877    -3006.09730808795302    -3006.10190651145786
         27.0        72.0    0.1402908    0.4317706    0.8910065    -3006.08711968013449    -3006.09431796109766    -3006.10150909865251
         27.0        90.0    0.0000000    0.4539905    0.8910065    -3006.08896742782781    -3006.09221766121846    -3006.10255948453141
         27.0       108.0   -0.1402908    0.4317706    0.8910065    -3006.09109490374294    -3006.09147206913894    -3006.10484483181745
         27.0       126.0   -0.2668489    0.3672860    0.8910065    -3006.09322134457352    -3006.09217195464862    -3006.10781990317264
         27.0       144.0   -0.3672860    0.2668489    0.8910065    -3006.09503337287879    -3006.09403056924339    -3006.11077899786187
         27.0       162.0   -0.4317706    0.1402908    0.8910065    -3006.09625233885299    -3006.09647240564163    -3006.11308402069790
         27.0       180.0   -0.4539905    0.0000000    0.8910065    -3006.09668120138485    -3006.09881581668651    -3006.11436474472703
         27.0       198.0   -0.4317706   -0.1402908    0.8910065    -3006.09624643679263    -3006.10051173702232    -3006.11462094808803
         27.0       216.0   -0.3672860   -0.2668489    0.8910065    -3006.09501896842721    -3006.10133548451904    -3006.11418085424020
         27.0       234.0   -0.2668489   -0.3672860    0.8910065    -3006.09319444305220    -3006.10143823181897    -3006.11352639442748
         27.0       252.0   -0.1402908   -0.4317706    0.8910065    -3006.09105085155443    -3006.10124160468877    -3006.11306543822138
         27.0       270.0   -0.0000000   -0.4539905    0.8910065    -3006.08890249836440    -3006.10122563380810    -3006.11295434431986
         27.0       288.0    0.1402908   -0.4317706    0.8910065    -3006.08703561723678    -3006.10170337077989    -3006.11304482391688
         27.0       306.0    0.2668489   -0.3672860    0.8910065    -3006.08563243264507    -3006.10267929212887    -3006.11297107378141
         27.0       324.0    0.3672860   -0.2668489    0.8910065    -3006.08473541503326    -3006.10382948517508    -3006.11233164723262
         27.0       342.0    0.4317706   -0.1402908    0.8910065    -3006.08427740140723    -3006.10460272415821    -3006.11088337581486
         27.0       360.0    0.4539905   -0.0000000    0.8910065    -3006.08415762302002    -3006.10443566698768    -3006.10866967513857
         36.0         0.0    0.5877853    0.0000000    0.8090170    -3006.07906979533527    -3006.10262415292800    -3006.10529124661525
         36.0        18.0    0.5590170    0.1816356    0.8090170    -3006.07919201734194    -3006.10103371839932    -3006.10157844204468
         36.0        36.0    0.4755283    0.3454915    0.8090170    -3006.07957473475199    -3006.09753313907004    -3006.09793049217797
         36.0        54.0    0.3454915    0.4755283    0.8090170    -3006.08042239798669    -3006.09297263960252    -3006.09536443582829
         36.0        72.0    0.1816356    0.5590170    0.8090170    -3006.08191054769941    -3006.08859523264528    -3006.09467577354599
         36.0        90.0    0.0000000    0.5877853    0.8090170    -3006.08405276595386    -3006.08557022747391    -3006.09616033568773
         36.0       108.0   -0.1816356    0.5590170    0.8090170    -3006.08663723131031    -3006.08461938806522    -3006.09948242772361
         36.0       126.0   -0.3454915    0.4755283    0.8090170    -3006.08928107874954    -3006.08586154201748    -3006.10376135333354
         36.0       144.0   -0.4755283    0.3454915    0.8090170    -3006.09156685175503    -3006.08882466329942    -3006.10786833497241
         36.0       162.0   -0.5590170    0.1816356    0.8090170    -3006.09312649045705    -3006.09256264178202    -3006.11080899956914
         36.0       180.0   -0.5877853    0.0000000    0.8090170    -3006.09368289296572    -3006.09593927050355    -3006.11204674792725
         36.0       198.0   -0.5590170   -0.1816356    0.8090170    -3006.09312543213719    -3006.09805343087646    -3006.11167389725460
         36.0       216.0   -0.4755283   -0.3454915    0.8090170    -3006.09155952014316    -3006.09858828273536    -3006.11033899813856
         36.0       234.0   -0.3454915   -0.4755283    0.8090170    -3006.08926102213491    -3006.09789108161294    -3006.10893194694245
         36.0       252.0   -0.1816356   -0.5590170    0.8090170    -3006.08659711616974    -3006.09677840917402    -3006.10818147472810
         36.0       270.0   -0.0000000   -0.5877853    0.8090170    -3006.08398366167557    -3006.09615568609206    -3006.10834656365796
         36.0       288.0    0.1816356   -0.5590170    0.8090170    -3006.08180993110955    -3006.09661125273942    -3006.10912699872597
         36.0       306.0    0.3454915   -0.4755283    0.8090170    -3006.08030350724675    -3006.09818920188991    -3006.10982404101787
         36.0       324.0    0.4755283   -0.3454915    0.8090170    -3006.07946557622245    -3006.10036656057673    -3006.10966821872944
         36.0       342.0    0.5590170   -0.1816356    0.8090170    -3006.07912580623633    -3006.10219020151908    -3006.10816070080818
         36.0       360.0    0.5877853   -0.0000000    0.8090170    -3006.07906979533527    -3006.10262415292800    -3006.10529124661525
         45.0         0.0    0.7071068    0.0000000    0.7071068    -3006.07424772226614    -3006.10034092133446    -3006.10200292241552
         45.0        18.0    0.6724985    0.2185080    0.7071068    -3006.07428475803545    -3006.09880011411406    -3006.09723537660057
         45.0        36.0    0.5720614    0.4156269    0.7071068    -3006.07445114499842    -3006.09445557139679    -3006.09236683276822
         45.0        54.0    0.4156269    0.5720614    0.7071068    -3006.07508012734115    -3006.08849915395558    -3006.08885103840521
         45.0        72.0    0.2185080    0.6724985    0.7071068    -3006.07646359468799    -3006.08271282441910    -3006.08783526549587
         45.0        90.0    0.0000000    0.7071068    0.7071068    -3006.07867764286675    -3006.07876544671490    -3006.08975354168024
         45.0       108.0   -0.2185080    0.6724985    0.7071068    -3006.08149022144926    -3006.07765352663864    -3006.09412587661836
         45.0       126.0   -0.4156269    0.5720614    0.7071068    -3006.08443583758390    -3006.07951846348851    -3006.09968781393445
         45.0       144.0   -0.5720614    0.4156269    0.7071068    -3006.08702724402747    -3006.08369435571058    -3006.10484706557327
         45.0       162.0   -0.6724985    0.2185080    0.7071068    -3006.08883239564420    -3006.08882378929320    -3006.10823934741848
         45.0       180.0   -0.7071068    0.0000000    0.7071068    -3006.08948887326505    -3006.09323931431572    -3006.10916825935101
         45.0       198.0   -0.6724985   -0.2185080    0.7071068    -3006.08883910634313    -3006.09563023277406    -3006.10785743804308
         45.0       216.0   -0.5720614   -0.4156269    0.7071068    -3006.08703092543146    -3006.09559454457940    -3006.10534627193965
         45.0       234.0   -0.4156269   -0.5720614    0.7071068    -3006.08442698258978    -3006.09373500235142    -3006.10300530053428
         45.0       252.0   -0.2185080   -0.6724985    0.7071068    -3006.08146033856974    -3006.09135442152410    -3006.10193658654725
         45.0       270.0   -0.0000000   -0.7071068    0.7071068    -3006.07861290509845    -3006.08987587584943    -3006.10251657146591
         45.0       288.0    0.2185080   -0.6724985    0.7071068    -3006.07635595311149    -3006.09020492461332    -3006.10425918296369
         45.0       306.0    0.4156269   -0.5720614    0.7071068    -3006.07494340999165    -3006.09243127627997    -3006.10606251565923
         45.0       324.0    0.5720614   -0.4156269    0.7071068    -3006.07431963902127    -3006.09583014558029    -3006.10671151696852
         45.0       342.0    0.6724985   -0.2185080    0.7071068    -3006.07420251450776    -3006.09900129953621    -3006.10539082377409
         45.0       360.0    0.7071068   -0.0000000    0.7071068    -3006.07424772226614    -3006.10034092133446    -3006.10200292241552
         54.0         0.0    0.8090170    0.0000000    0.5877853    -3006.07015093255359    -3006.09779855334637    -3006.09914493942006
         54.0        18.0    0.7694209    0.2500000    0.5877853    -3006.07007465395691    -3006.09653119400537    -3006.09344790013165
         54.0        36.0    0.6545085    0.4755283    0.5877853    -3006.06994909463901    -3006.09154071504418    -3006.08742936516819
         54.0        54.0    0.4755283    0.6545085    0.5877853    -3006.07023567816850    -3006.08434221672815    -3006.08299351368760
         54.0        72.0    0.2500000    0.7694209    0.5877853    -3006.07132955334646    -3006.07725767566262    -3006.08164887191242
         54.0        90.0    0.0000000    0.8090170    0.5877853    -3006.07337616879977    -3006.07247197782317    -3006.08396712385047
         54.0       108.0   -0.2500000    0.7694209    0.5877853    -3006.07615576736225    -3006.07125366386754    -3006.08930871212624
         54.0       126.0   -0.4755283    0.6545085    0.5877853    -3006.07915801163836    -3006.07375988435433    -3006.09600720358821
         54.0       144.0   -0.6545085    0.4755283    0.5877853    -3006.08186668035887    -3006.07914382800391    -3006.10201387956522
         54.0       162.0   -0.7694209    0.2500000    0.5877853    -3006.08380951497520    -3006.08563294394571    -3006.10562538188469
         54.0       180.0   -0.8090170    0.0000000    0.5877853    -3006.08453379743378    -3006.09099480467194    -3006.10601113266148
         54.0       198.0   -0.7694209   -0.2500000    0.5877853    -3006.08382699099366    -3006.09348825846746    -3006.10355239236969
         54.0       216.0   -0.6545085   -0.4755283    0.5877853    -3006.08188520294789    -3006.09264855341735    -3006.09970867853599
         54.0       234.0   -0.4755283   -0.6545085    0.5877853    -3006.07916363977529    -3006.08937416585286    -3006.09634956682567
         54.0       252.0   -0.2500000   -0.7694209    0.5877853    -3006.07613991892367    -3006.08550028744412    -3006.09496324263137
         54.0       270.0   -0.0000000   -0.8090170    0.5877853    -3006.07332161904924    -3006.08300988897463    -3006.09605019418314
         54.0       288.0    0.2500000   -0.7694209    0.5877853    -3006.07122352692386    -3006.08312648244373    -3006.09892701388117
         54.0       306.0    0.4755283   -0.6545085    0.5877853    -3006.07009204528640    -3006.08597886265670    -3006.10206118212091
         54.0       324.0    0.6545085   -0.4755283    0.5877853    -3006.06980484172982    -3006.09066334354429    -3006.10376129163660
         54.0       342.0    0.7694209   -0.2500000    0.5877853    -3006.06998158020724    -3006.09533882595451    -3006.10286247273370
         54.0       360.0    0.8090170   -0.0000000    0.5877853    -3006.07015093255359    -3006.09779855334637    -3006.09914493942006
         63.0         0.0    0.8910065    0.0000000    0.4539905    -3006.06717390985432    -3006.09521811191553    -3006.09699194522454
         63.0        18.0    0.8473976    0.2753362    0.4539905    -3006.06696928282236    -3006.09441594113105    -3006.09058467888781
         63.0        36.0    0.7208394    0.5237205    0.4539905    -3006.06650875818195    -3006.08905421149848    -3006.08359988854636
         63.0        54.0    0.5237205    0.7208394    0.4539905    -3006.06636473703929    -3006.08090698295973    -3006.07836435726813
         63.0        72.0    0.2753362    0.8473976    0.4539905    -3006.06700763125627    -3006.07277148334924    -3006.07672275534833
         63.0        90.0    0.0000000    0.8910065    0.4539905    -3006.06865348586416    -3006.06731540005285    -3006.07936773775464
         63.0       108.0   -0.2753362    0.8473976    0.4539905    -3006.07113821110897    -3006.06605460529227    -3006.08549698318120
         63.0       126.0   -0.5237205    0.7208394    0.4539905    -3006.07395767576782    -3006.06915539667534    -3006.09306449804672
         63.0       144.0   -0.7208394    0.5237205    0.4539905    -3006.07660039099892    -3006.07561989528040    -3006.09962266586672
         63.0       162.0   -0.8473976    0.2753362    0.4539905    -3006.07857083552108    -3006.08329517667426    -3006.10319773119454
         63.0       180.0   -0.8910065    0.0000000    0.4539905    -3006.07932757444132    -3006.08940708076898    -3006.10286722563842
         63.0       198.0   -0.8473976   -0.2753362    0.4539905    -3006.07860166825776    -3006.09181087385286    -3006.09918002567201
         63.0       216.0   -0.7208394   -0.5237205    0.4539905    -3006.07663735712185    -3006.09001307405106    -3006.09399711228025
         63.0       234.0   -0.5237205   -0.7208394    0.4539905    -3006.07398078099732    -3006.08522167642059    -3006.08964748596782
         63.0       252.0   -0.2753362   -0.8473976    0.4539905    -3006.07113852158318    -3006.07979491122887    -3006.08797530153470
         63.0       270.0   -0.0000000   -0.8910065    0.4539905    -3006.06861208678538    -3006.07625373729479    -3006.08960080836869
