theta,phi,E_el,E_el_uncoupled,E_ph,E_blc,E_dse,E_total
0.0,291.23595505617976,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,295.2808988764045,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,299.3258426966292,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,303.37078651685397,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,307.4157303370787,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,311.4606741573034,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,315.5056179775281,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,319.55056179775283,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,323.59550561797755,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,327.64044943820227,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,331.685393258427,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,335.7303370786517,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,339.7752808988764,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,343.82022471910113,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,347.86516853932585,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,351.91011235955057,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,355.9550561797753,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
0.0,360.0,-435.82492318920356,-435.8249426837174,0.03307877544842229,-4.8518720614896136e-05,0.00012466942037000597,-435.79176826305587
2.0224719101123596,0.0,-435.8249143541596,-435.8249426837174,0.03308114782575488,-7.086078277597128e-05,0.00017773942860798252,-435.791726327688
2.0224719101123596,4.044943820224719,-435.82491509315514,-435.8249426837174,0.03308095903651105,-6.900908090257868e-05,0.00017317000380770166,-435.791729973196
2.0224719101123596,8.089887640449438,-435.8249158688523,-435.8249426837174,0.0330807600312902,-6.706399149521192e-05,0.00016838547747074858,-435.79173378733503
2.0224719101123596,12.134831460674157,-435.82491667700185,-435.8249426837174,0.03308055190947294,-6.503613312291584e-05,0.00016341174475614128,-435.7917377494804
2.0224719101123596,16.179775280898877,-435.8249175129326,-435.8249426837174,0.033080335890505144,-6.293720461988138e-05,0.00015827714531562066,-435.79174183710154
2.0224719101123596,20.224719101123597,-435.8249183715895,-435.8249426837174,0.03308011330418264,-6.077989541790046e-05,0.00015301225229520478,-435.7917460259281
2.0224719101123596,24.269662921348313,-435.82491924756994,-435.8249426837174,0.033079885578974205,-5.857777828295275e-05,0.00014764962170248395,-435.7917502901471
2.0224719101123596,28.314606741573034,-435.8249201351798,-435.8249426837174,0.03307965422854383,-5.6345185848691366e-05,0.00014222350529230897,-435.79175460263195
2.0224719101123596,32.359550561797754,-435.8249210284871,-435.8249426837174,0.033079420836664056,-5.4097072650935426e-05,0.00013676953083641816,-435.7917589351925
2.0224719101123596,36.40449438202247,-435.82492192137994,-435.8249426837174,0.03307918704074644,-5.1848864658753047e-05,0.00013132435429050857,-435.79176325884976
2.0224719101123596,40.449438202247194,-435.82492280763046,-435.8249426837174,0.03307895451424142,-4.9616298544220155e-05,0.00012592528894229103,-435.7917675441258
2.0224719101123596,44.49438202247191,-435.8249236809623,-435.8249426837174,0.03307872494818323,-4.7415253149751317e-05,0.00012060991710436452,-435.7917717613501
2.0224719101123596,48.53932584269663,-435.8249245351193,-435.8249426837174,0.03307850003217214,-4.5261575775862954e-05,0.00011541569029620935,-435.79177588097207
2.0224719101123596,52.58426966292135,-435.8249253639308,-435.8249426837174,0.03307828143509956,-4.3170906034504226e-05,0.00011037952413188611,-435.79177987387794
2.0224719101123596,56.62921348314607,-435.82492616138876,-435.8249426837174,0.0330780707859281,-4.115850007945745e-05,0.0001055373942877992,-435.7917837117087
